em_arg_num,event_mention_id,event_mention_realis,event_mention_subtype,event_mention_type,event_mention_ways,file,hopper_id,label_polarity,trigger_context,trigger_length,trigger_offset,trigger_text
2,em-1525,actual,transferownership,transaction,voluntary,0a421343005f3241376fa01e1cb3c6fb,h-1166,neg,I had to buy carpets because we had bare concrete floors.,3,3320,buy
2,em-1686,other,transfermoney,transaction,voluntary,0a421343005f3241376fa01e1cb3c6fb,h-1742,pos,It was on the agreement that my mum would give me £85 a month which was half of what she was paying the creditors.,4,2087,give
2,em-1721,other,transfermoney,transaction,voluntary,0a421343005f3241376fa01e1cb3c6fb,h-1742,pos,But she seems to have forgotten HOW much I paid off as she keeps hinting that she will stop giving me the money in December.,6,2325,giving
4,em-1779,actual,transferownership,transaction,voluntary,0a421343005f3241376fa01e1cb3c6fb,h-1802,neg,"I also try and do things like by mu mum and dad shoes etc, it sounds silly but they dont do it and my mum literally ends up with holes in her leggings.",2,2836,by
2,em-1881,generic,transferownership,transaction,voluntary,0a421343005f3241376fa01e1cb3c6fb,h-1930,pos,She would rather by food and I understand this as she has been brought up that spoiling yourself is done via food.,2,2975,by
3,em-1909,generic,transferownership,transaction,voluntary,0a421343005f3241376fa01e1cb3c6fb,h-1946,neg,STOP BUYING THINGS FOR THEIR HOME!,6,4273,BUYING
1,em-1969,generic,transfermoney,transaction,voluntary,0a421343005f3241376fa01e1cb3c6fb,h-1990,neg,If you're paying nearly all of the running-costs of your parents' home and they're paying the rent/mortgage where is all the rest of their money going?,6,4582,paying
1,em-1992,generic,transfermoney,transaction,voluntary,0a421343005f3241376fa01e1cb3c6fb,h-1990,neg,"The problem I have is that I feel as though I am paying for everything now, I always felt like I had to spoil my parents, feeling so lucky to still have them and I would do anything for them but now I am financially struggling and I think they believe my money is endless.",6,1134,paying
1,em-2034,generic,transferownership,transaction,voluntary,0a421343005f3241376fa01e1cb3c6fb,h-2055,neg,If you're paying nearly all of the running-costs of your parents' home and they're paying the rent/mortgage where is all the rest of their money going?,6,4655,paying
4,em-728,actual,transportperson,movement,,0ba982819aaf9f5b94a7cebd48ac6018,h-16,neg,Why do you think Bush let all the Saudis get out of the country on chartered jets so fast after 9/11?,7,435,get out
3,em-749,actual,elect,personnel,,0ba982819aaf9f5b94a7cebd48ac6018,h-726,neg,"Hell, America just elected a junior Senator with zero executive experince.",7,1079,elected
3,em-770,actual,elect,personnel,,0ba982819aaf9f5b94a7cebd48ac6018,h-726,neg,"Hell, America just elected a junior Senator with zero executive experince.",7,2462,elected
3,em-791,actual,elect,personnel,,0ba982819aaf9f5b94a7cebd48ac6018,h-726,neg,"Hell, America just elected a junior Senator with zero executive experince.",7,1777,elected
2,em-748,actual,attack,conflict,,0c49bb860962aa0d5b8e3fc277592da0,h-16,neg,"But that only covers the immediate reaction, from what others have posted it seems that for years after witnessing the child being raped he would have seen the rapist with young children.",5,4506,raped
1,em-769,actual,attack,conflict,,0c49bb860962aa0d5b8e3fc277592da0,h-16,neg,That's the point I was making earlier when I said I could understand why he did not take immediate action when he saw the child being raped and I accept that is how humans can react in such stressful circumstances.,5,4293,raped
2,em-790,actual,transfermoney,transaction,voluntary,0c49bb860962aa0d5b8e3fc277592da0,h-746,pos,"But he had a love of that community - to which he's donated millions - and a dedication to honor first, and winning second.",7,915,donated
2,em-1118,other,transportperson,movement,,0c49bb860962aa0d5b8e3fc277592da0,h-1146,neg,That's why it's so painful now to learn that in this critical instance Joe's moral compass sent him to the Bermuda Triangle.,4,1079,sent
2,em-1171,other,attack,conflict,,0c49bb860962aa0d5b8e3fc277592da0,h-1199,neg,I just think it would have been nice/advisable to have this go to court and KNOW what's what before people started throwing molotov cocktails every which way.,8,2362,throwing
2,em-1192,actual,transfermoney,transaction,voluntary,0cfdfe102b7a4cb34e1a181c1d36d23d,h-1220,neg,We bailed out the elite bankers with tax payers money and now the big businesses are sacking folk.,6,975,bailed
1,em-1222,actual,transfermoney,transaction,voluntary,0cfdfe102b7a4cb34e1a181c1d36d23d,h-1243,neg,"Although slaves don't get a wage, we are payed a pittance for hard work.",5,1197,payed
1,em-1642,other,elect,personnel,,0cfdfe102b7a4cb34e1a181c1d36d23d,h-1663,neg,"If i was David Miliband i'd criticise him back, make a statement calling him an unelected fascist dictator and denounce the deaths of protestors as 'barbaric', then withdraw all British diplomats.",9,4996,unelected
1,em-1665,actual,die,life,,0cfdfe102b7a4cb34e1a181c1d36d23d,h-1695,neg,"If i was David Miliband i'd criticise him back, make a statement calling him an unelected fascist dictator and denounce the deaths of protestors as 'barbaric', then withdraw all British diplomats.",6,5040,deaths
1,em-450,generic,transaction,transaction,involuntarynoforce,0eb03fc279066b84ed49d44b2405469a,h-471,neg,"Instead of getting a fair amount for seized assets, they are sold off to ""friends"" for far less than their actual value, without public notice, in secret.",4,758,sold
2,em-507,generic,transferownership,transaction,involuntarynoforce,0eb03fc279066b84ed49d44b2405469a,h-580,neg,I never could wrap my mind around the fact that your home could be seized because you grow a few plants.,6,1481,seized
2,em-559,generic,transaction,transaction,involuntaryforce,0eb03fc279066b84ed49d44b2405469a,h-582,neg,"But it makes sense, if they take all your stuff not only do they make money but it deprives you of collateral you might need to hire a lawyer that might actually get you off the BS charges.",4,1547,take
1,em-660,actual,transaction,transaction,voluntary,0eb03fc279066b84ed49d44b2405469a,h-681,neg,When are the pigs going to realize that the shit they are handing out will be shoved straight back in their faces?,11,2127,handing out
1,em-843,other,die,life,,0f03cc5a508d630c6c8c8c61396e31a9,h-864,neg,dh fear is i will pass away.,9,352,pass away
1,em-866,other,die,life,,0f03cc5a508d630c6c8c8c61396e31a9,h-887,neg,amd loose both of us.,5,367,loose
1,em-934,other,die,life,,0f03cc5a508d630c6c8c8c61396e31a9,h-1018,neg,And I was terrified all the way to surgery that something would go wrong and she would die in surgery.,3,1459,die
2,em-1031,other,transportperson,movement,,0f03cc5a508d630c6c8c8c61396e31a9,h-1059,neg,i am so scared that somehting will happen and i will have to come home without baby.,4,285,come
2,em-1179,actual,injure,life,,0f565d3822dca80336582ffac4adaf78,h-1083,neg,"So where in the comprehensive 77 lengthy sections could that magical, much sought-after golden fleece-like 'good reason' to consign the 350,000 civilian population of Hiroshima and the 250.000 civilian population of Nagasaki to the horrors of a nuclear blood bath be hiding?",10,679,blood bath
2,em-1570,actual,injure,life,,0f565d3822dca80336582ffac4adaf78,h-1598,neg,"So where in the comprehensive 77 lengthy sections could that magical, much sought-after golden fleece-like 'good reason' to consign the 350,000 civilian population of Hiroshima and the 250.000 civilian population of Nagasaki to the horrors of a nuclear blood bath be hiding?",10,679,blood bath
2,em-533,actual,arrestjail,justice,,0fab386f8b6527439481f526c92341c7,h-16,neg,"it's short but if you don't want to read it basically a guy in the USA has been arrested for agreeing to meet up with and have sex with a ""14 year old girl"" who was actually an undercover cop...surely this is entrapment?",8,865,arrested
2,em-554,actual,arrestjail,justice,,0fab386f8b6527439481f526c92341c7,h-16,neg,"it's short but if you don't want to read it basically a guy in the USA has been arrested for agreeing to meet up with and have sex with a ""14 year old girl"" who was actually an undercover cop...surely this is entrapment?",8,2628,arrested
2,em-1057,actual,attack,conflict,,101d0fc4a78dc1b84953ebd399b2fad5,h-1032,neg,It's enough to say I left after I was punched in the head while driving- almost lost control of the car- and he didn't seem to realise he'd even done anything.,7,1343,punched
1,em-1227,generic,die,life,,11329f1cdb44019afc8f48b6fdc5376d,h-1269,neg,"Others will just have to, you know, get sick and die for the sake of free market principles.",3,1263,die
1,em-1271,generic,die,life,,11329f1cdb44019afc8f48b6fdc5376d,h-1292,neg,"The ugly fact is that every year we fail to reform the existing system, that failure condemns tens of thousands of people to die either because they have no insurance or because their insurance companies deny coverage or benefits when they become ill.",3,1759,die
3,em-1107,actual,elect,personnel,,11a29a0d63a79b0f5d19ccae1838b125,h-16,pos,"But obviously most importantly they have gained their first ever MP, Caroline Lucas in Brighton Pavilion.",6,2054,gained
2,em-1746,other,elect,personnel,,11a29a0d63a79b0f5d19ccae1838b125,h-1781,pos,In Norwich south they made an 8% gain which puts them in a prime position to take it in 4 years time.,4,1987,take
2,em-1988,other,elect,personnel,,11a29a0d63a79b0f5d19ccae1838b125,h-2016,pos,"Here's hoping that, should they have another election to fix the hung parliament, they'll still keep her in!",4,6549,keep
1,em-960,generic,artifact,manufacture,,11c906f2f798abb05f143b206edf77a5,h-981,neg,"It's ridiculous to see that cheap labour is being chosen over safety and security...not saying that India isn't but it's true what they say, you get what you pay for:CHEAP pharmaceutics production = low quality...",10,3349,production
3,em-790,actual,attack,conflict,,120fe19a9bc68fd85fc4963c166e9345,h-16,neg,"Secondly, several people either witnessed or were directly told of Sandusky raping a young boy in the showers in 2000 and they did NOTHING.",6,550,raping
1,em-811,actual,chargeindict,justice,,120fe19a9bc68fd85fc4963c166e9345,h-782,neg,Another point: With the benefit of hindsight we are outraged by the 40 counts related to sexual abuse and 9 or more victims.,6,1113,counts
1,em-832,actual,chargeindict,justice,,120fe19a9bc68fd85fc4963c166e9345,h-782,neg,But it's NOT the 40 counts and 9+ victims everyone is judging him by.,6,1483,counts
2,em-853,actual,endposition,personnel,,120fe19a9bc68fd85fc4963c166e9345,h-784,neg,I'm not sure it's beyond the pale to suggest that Paterno may have considered his own firing to be a negative turn of events that the football program needed to be protected from.,6,3920,firing
2,em-874,actual,endposition,personnel,,120fe19a9bc68fd85fc4963c166e9345,h-784,neg,Paterno lost his job because of what Sandusky did.,4,3729,lost
1,em-895,actual,attack,conflict,,120fe19a9bc68fd85fc4963c166e9345,h-786,neg,"But when it was first discovered that Sandusky was sexually abusing children, this had nothing to do with the school or the football program per se.",7,2889,abusing
1,em-916,actual,attack,conflict,,120fe19a9bc68fd85fc4963c166e9345,h-786,neg,Another point: With the benefit of hindsight we are outraged by the 40 counts related to sexual abuse and 9 or more victims.,5,1138,abuse
1,em-1013,actual,attack,conflict,,120fe19a9bc68fd85fc4963c166e9345,h-786,neg,- Many people here and elsewhere continue to suggest Paterno not doing more made him an enabler of child sexual abuse.,5,212,abuse
2,em-836,actual,die,life,,130a86739522ab7c56232e798d04cbf9,h-16,neg,"Sadly, my mum has passed away already a few years back (as has my dad), both in their early fifties.",11,655,passed away
2,em-857,actual,die,life,,130a86739522ab7c56232e798d04cbf9,h-16,neg,"Sadly, my mum has passed away already a few years back (as has my dad), both in their early fifties.",11,2465,passed away
1,em-878,actual,die,life,,130a86739522ab7c56232e798d04cbf9,h-830,neg,"Sadly, my mum has passed away already a few years back (as has my dad), both in their early fifties.",11,655,passed away
1,em-899,actual,die,life,,130a86739522ab7c56232e798d04cbf9,h-830,neg,"Sadly, my mum has passed away already a few years back (as has my dad), both in their early fifties.",11,2465,passed away
2,em-1657,generic,transportperson,movement,,130a86739522ab7c56232e798d04cbf9,h-1685,pos,"Time to take them to the park, bake cakes, go splashing in puddles and days out at the seaside.",4,4043,take
1,em-1256,actual,elect,personnel,,1473ea2ded50c05b29b4f55f1b83ada3,h-1277,neg,"Before the 1994 election, 34 senators came from states that voted for a presidential nominee of the opposing party.",8,1774,election
1,em-1156,actual,correspondence,contact,,15ba31cca04cc5300361f46319247c40,h-1177,pos,Your post is intelligently and reasonably stated.,4,966,post
2,em-1672,generic,attack,conflict,,178e7de35eccad0df800f0c7539cf614,h-495,neg,Yeah but you cannot just throw around nuclear bombs without huge geopolitical consequences.,12,2709,throw around
2,em-1700,generic,attack,conflict,,178e7de35eccad0df800f0c7539cf614,h-495,neg,Yeah but you cannot just throw around nuclear bombs without huge geopolitical consequences.,12,3204,throw around
1,em-1345,other,attack,conflict,,178e7de35eccad0df800f0c7539cf614,h-1366,neg,"I personally think it would be cool, Israel might have to think twice before carrying out major bombings in Palastine etc.",8,2997,bombings
2,em-1368,other,transferownership,transaction,voluntary,178e7de35eccad0df800f0c7539cf614,h-1417,neg,There will always be that deterrant if Iran gets nukes.,4,3068,gets
2,em-1451,other,transferownership,transaction,voluntary,178e7de35eccad0df800f0c7539cf614,h-1417,pos,"If they have/get nukes, no one's invading Iran.",3,2865,get
2,em-1508,other,attack,conflict,,178e7de35eccad0df800f0c7539cf614,h-1545,neg,"If they have/get nukes, no one's invading Iran.",8,2885,invading
2,em-274,actual,transportperson,movement,,17f98f0c6cda0227e732e6761f396d1f,h-16,neg,I have tickets to this Friday's Brewers/Cubs game but the memory of my three hour nightmare getting to Miller Park last time is making me nauseous.,7,164,getting
2,em-849,actual,meet,contact,,186ef6837e001cd9b97a132c86705545,h-820,neg,I watched her approach a group of students who said they didn't really know anything about the two voting systems and she then proceeded to give them a very biased overview.,8,1908,approach
2,em-870,actual,meet,contact,,186ef6837e001cd9b97a132c86705545,h-820,neg,I watched her approach a group of students who said they didn't really know anything about the two voting systems and she then proceeded to give them a very biased overview.,8,567,approach
2,em-891,actual,transportperson,movement,,186ef6837e001cd9b97a132c86705545,h-822,neg,At one point they also walked up and down the student flats in the area approaching any students that came out the door.,6,252,walked
4,em-933,actual,meet,contact,,186ef6837e001cd9b97a132c86705545,h-826,neg,When I went to vote today I ended up having a rather heated discussion with the 'yes party' campaigners that were standing outside the door of the polling station.,10,125,discussion
2,em-529,actual,transfermoney,transaction,canttell,18a89cdd00dadc593a88c924111575f1,h-494,neg,Well our money hungry goverment has found another pretext to sieze money from well meaning capitalists.,5,738,sieze
1,em-463,actual,demonstrate,conflict,,18e8a277f2659f79291efa0e12e80cb3,h-16,pos,...actions by some of the protestors?,10,90,protestors
1,em-484,actual,demonstrate,conflict,,18e8a277f2659f79291efa0e12e80cb3,h-16,pos,"In other words, the trouble-makers at the OWS protests do not represent the movement itself.",8,284,protests
1,em-791,generic,transfermoney,transaction,voluntary,18e8a277f2659f79291efa0e12e80cb3,h-812,neg,"Even when they create nothing, but just take massive fees for doing nothing, or, in the case of some CEO's get their 'rightful' hands on those multi-million dollar bonuses even if the stock tanks and the company makes a loss.",4,2149,fees
1,em-814,generic,transfermoney,transaction,voluntary,18e8a277f2659f79291efa0e12e80cb3,h-835,neg,"Even when they create nothing, but just take massive fees for doing nothing, or, in the case of some CEO's get their 'rightful' hands on those multi-million dollar bonuses even if the stock tanks and the company makes a loss.",3,2203,get
3,em-923,actual,transferownership,transaction,voluntary,1ae45904ad12b1540dc390e162b61235,h-958,neg,"I can understand the argument that nuclear proliferation is bad and any of these states having nuclear weapons is not desirable as it just leads to proliferation in the region, but that argument should have been used against Pakistan and Israel getting nukes.",7,3150,getting
2,em-1123,actual,die,life,,1ae45904ad12b1540dc390e162b61235,h-1151,neg,"they have a bad history of blowing things/people they dont like up...negs, quaint... are you all disputing irans known history of terrorism or are you all morons?",7,1424,blowing
2,em-1159,actual,die,life,,1ae45904ad12b1540dc390e162b61235,h-1151,neg,they have a bad history of blowing things/people they dont like up...,7,1804,blowing
3,em-1265,generic,attack,conflict,,1ae45904ad12b1540dc390e162b61235,h-1300,neg,they have a bad history of blowing things/people they dont like up...,7,1804,blowing
3,em-1302,actual,attack,conflict,,1ae45904ad12b1540dc390e162b61235,h-1300,neg,"they have a bad history of blowing things/people they dont like up...negs, quaint... are you all disputing irans known history of terrorism or are you all morons?",7,1424,blowing
2,em-1224,other,transferownership,transaction,voluntary,1b0f90c029f75d326ea39c0371901ef4,h-1252,neg,Remember that corporate oil deal where the Chinese wanted to buy out Unocal?,3,120,buy
3,em-1254,other,transferownership,transaction,voluntary,1b0f90c029f75d326ea39c0371901ef4,h-1252,neg,In other words Americans weren't happy having one of their howegrown oil companies owned by Commie China.,5,341,owned
2,em-1325,generic,endposition,personnel,,1b0f90c029f75d326ea39c0371901ef4,h-1353,neg,"More and more people are losing jobs to outsourcing, while small businesses are going belly-up as corporate power becomes more and more centralized.",6,1800,losing
2,em-1355,generic,endorg,business,,1b0f90c029f75d326ea39c0371901ef4,h-1383,neg,"More and more people are losing jobs to outsourcing, while small businesses are going belly-up as corporate power becomes more and more centralized.",8,1861,belly-up
1,em-1385,generic,transferownership,transaction,canttell,1b0f90c029f75d326ea39c0371901ef4,h-1406,pos,"In fact Communism historically takes the property from the oligarchy and redistributes it, decentralizes it into communes that govern themselves.",5,3484,takes
2,em-1408,generic,startorg,business,,1b0f90c029f75d326ea39c0371901ef4,h-1442,neg,Where it goes wrong in practice is when they create a central government to control the communes.,6,3644,create
1,em-1628,actual,contact,contact,,1d16a571f14fb1032bc19e9314a46deb,h-1649,neg,"No one with daughters the age of Sandra Fluke, and I have two, could possibly abide the insult and abuse heaped upon this courageous and well-intentioned young lady.",6,482,insult
1,em-1695,actual,contact,contact,,1d16a571f14fb1032bc19e9314a46deb,h-1649,neg,"No one with daughters the age of Sandra Fluke, and I have two, could possibly abide the insult and abuse heaped upon this courageous and well-intentioned young lady.",6,6741,insult
1,em-1947,actual,broadcast,contact,,1d16a571f14fb1032bc19e9314a46deb,h-1968,pos,Nice statement by Carbonite.,9,7237,statement
3,em-1165,actual,transferownership,transaction,voluntary,1f60eb9697e240af089b134b69c2042d,h-1098,pos,"EDIT: Oh also, as an amusing side note, we had walmart here for a while but they completely tanked, gave up, and sold their stores to local chains.",4,2280,sold
3,em-1186,actual,transferownership,transaction,voluntary,1f60eb9697e240af089b134b69c2042d,h-1098,pos,"EDIT: Oh also, as an amusing side note, we had walmart here for a while but they completely tanked, gave up, and sold their stores to local chains.",4,795,sold
1,em-2023,actual,broadcast,contact,,1f60eb9697e240af089b134b69c2042d,h-2044,pos,I liked that video about the Building #13 store somebody posted earlier.,6,162,posted
1,em-2053,actual,broadcast,contact,,1f60eb9697e240af089b134b69c2042d,h-2044,pos,I liked that video about the Building #13 store somebody posted earlier.,6,1647,posted
2,em-1867,generic,die,life,,21dbe23f56aaef87fd0980234895b321,h-1895,neg,"Also, if you wish to look at the comparative risks if we do not confront terrorist organizations in their staging areas, how many people could die as a result of weapons of mass destruction at some point in the not too distant future?",3,3834,die
2,em-1213,actual,demonstrate,conflict,,2251a78817e67a2adaf0722fd05c7ac0,h-16,neg,"the queen making a visit to the republic was a big deal, there were some protests from hardliner irish republicans, and general apathy from the rest of the population.",8,838,protests
2,em-1234,actual,meet,contact,,2251a78817e67a2adaf0722fd05c7ac0,h-1209,pos,"the queen making a visit to the republic was a big deal, there were some protests from hardliner irish republicans, and general apathy from the rest of the population.",5,784,visit
1,em-1394,generic,elect,personnel,,2251a78817e67a2adaf0722fd05c7ac0,h-1415,neg,"now imagine if an elected nobody, perhaps even if david cameron took on the role of president as well as prime minister, would anyone cared or even have noticed if cameron went to ireland to lay down a wreath?",7,1393,elected
2,em-1841,generic,startposition,personnel,,2251a78817e67a2adaf0722fd05c7ac0,h-1869,neg,"There are other reasons too, but the main ones is that we dont need them, it also is undemocratic and on a personal note, as an aethiest i cannot agree with anyone appointed into a postion such as the head of state by god as i do not believe he is real.",9,5418,appointed
1,em-1724,actual,transportperson,movement,,2251a78817e67a2adaf0722fd05c7ac0,h-1871,pos,"but the irish were bowled over when queen came over and paid her respects to irishmen who fought for britain and those who fought for independence from britain, to her bowing in honour of the victims of the first bloody sunday to even ex-IRA members.",4,975,came
2,em-284,actual,attack,conflict,,22ca1a5aa492b429d274169c54554a7c,h-16,neg,"26 year old continues to follow 17 year old (Driving at 2-3mph at night behind a person walking on the sidewalk)17 year old, after noticing some guy is following him (at night, behind him..lights on) asks ""Whats you problem""26 year stops and exits vehicle.....fight ensues26 shoots 17 year old.",6,2062,shoots
2,em-375,actual,correspondence,contact,,22ca1a5aa492b429d274169c54554a7c,h-403,neg,"17 year old kid walking on sidewalk a little after 7PM26 year old ""self appointed neighborhood watch captain"" reports to police that 17 year old is suspicious (for walking on the sidewalk between the hours of 7PM and 8PM)Cops tell him we are on the way and to backoff.",7,1623,reports
1,em-433,other,chargeindict,justice,,22ca1a5aa492b429d274169c54554a7c,h-454,neg,No charges filed against 26 year old.,7,2086,charges
1,em-620,other,arrestjail,justice,,22ca1a5aa492b429d274169c54554a7c,h-641,neg,The disturbing fact is be that the shooter wasn't arrested and the police have not released the tapes,8,1156,arrested
3,em-1210,actual,attack,conflict,,23987125927d321ec6f0c30c8f453cb3,h-1082,neg,"People who spilled over from the ""protest"" attacked their car as it went down Regent Street.",8,1301,attacked
2,em-1831,other,attack,conflict,,23987125927d321ec6f0c30c8f453cb3,h-1868,pos,One day I would get some TSR users and we will beat almost to death all members of the Royal family except the Queen.,4,3309,beat
2,em-1870,other,die,life,,23987125927d321ec6f0c30c8f453cb3,h-1898,pos,One day I would get some TSR users and we will beat almost to death all members of the Royal family except the Queen.,5,3324,death
2,em-1271,actual,marry,life,,24d93564f48ae17904aa82f937db8c21,h-16,pos,My Mum married the other man and stayed with him until he died.,7,2378,married
2,em-1313,actual,meet,contact,,24d93564f48ae17904aa82f937db8c21,h-1257,pos,My Dad met a lovely woman and also remarried.,3,2442,met
2,em-1334,actual,marry,life,,24d93564f48ae17904aa82f937db8c21,h-1259,pos,My Dad met a lovely woman and also remarried.,9,2470,remarried
1,em-1418,actual,marry,life,,24d93564f48ae17904aa82f937db8c21,h-1267,pos,The existence of 2 (presumably) youngish children would suggest that the marriage is not the cold and unrewarding one the husband would have you believe.,8,186,marriage
1,em-1439,actual,marry,life,,24d93564f48ae17904aa82f937db8c21,h-1267,neg,"Perhaps, but perhaps notIf you think she just needs the gentlest of nudges to decide that the marriage isn't worth salvaging, why not drop her a line and ask her what she thinks about the present situation and how best to resolve the difficulties.",8,667,marriage
1,em-762,actual,attack,conflict,,26175bdbe49b712d7412c273c111e813,h-16,neg,"Why this is a problem for anyone, I cannot fathom, any more than I can fathom simply walking away and leaving that child to be raped.",5,2077,raped
1,em-1101,actual,attack,conflict,,26175bdbe49b712d7412c273c111e813,h-16,neg,"My own point was simply to express my utter incredulity that anyone, ANYONE, could simply walk away from a child being anally raped, right before his eyes.",5,2271,raped
3,em-1033,other,transportperson,movement,,26175bdbe49b712d7412c273c111e813,h-1056,pos,"If I could get the child out of there without touching the perp in any way, I'd certainly rather do that.",3,524,out
1,em-1078,actual,attack,conflict,,26175bdbe49b712d7412c273c111e813,h-1099,neg,"Having survived serial sexual abuse, I know first-hand what that child's experiencing (as I rather expect a certain number of the rest of us might be able to say, true?)",5,754,abuse
1,em-1122,actual,attack,conflict,,26175bdbe49b712d7412c273c111e813,h-1099,neg,"I think that since this is such an emotionally-charged topic, in particular for someone who went through sexual abuse, that it is easy for things to be misconstrued.",5,2607,abuse
3,em-1488,other,transportperson,movement,,26542fb5b83cdb4b98a3fe31e0226b39,h-16,pos,The Federal Government is able to bring in personnel and resources from around the country,8,592,bring in
3,em-1592,other,transportperson,movement,,26542fb5b83cdb4b98a3fe31e0226b39,h-16,pos,The Federal Government is able to bring in personnel and resources from around the country,8,3245,bring in
2,em-1627,other,transfermoney,transaction,voluntary,26542fb5b83cdb4b98a3fe31e0226b39,h-1655,neg,But Ron Paul wants taxpayers to pay for his airplane trips and then he bills his supporters too....,3,4520,pay
2,em-1680,other,transfermoney,transaction,voluntary,26542fb5b83cdb4b98a3fe31e0226b39,h-1655,neg,But Ron Paul wants taxpayers to pay for his airplane trips and then he bills his supporters too....,3,4732,pay
2,em-1908,other,transfermoney,transaction,voluntary,26542fb5b83cdb4b98a3fe31e0226b39,h-1655,neg,But Ron Paul wants taxpayers to pay for his airplane trips and then he bills his supporters too....,3,6924,pay
1,em-1802,other,transfermoney,transaction,voluntary,26542fb5b83cdb4b98a3fe31e0226b39,h-1823,neg,Ron Paul says tornado victims should not get aid | 11alive.com,3,5788,aid
3,em-1825,other,transfermoney,transaction,voluntary,26542fb5b83cdb4b98a3fe31e0226b39,h-1860,pos,My heart goes out to the people in tornado alley and I have no problem with my tax dollars going to help the survivors rebuild their lives.,5,5908,going
1,em-1862,generic,transfermoney,transaction,voluntary,26542fb5b83cdb4b98a3fe31e0226b39,h-1883,neg,Ron Paul Takes Double Reimbursements On Travel Expenses According To Capitol Hill Newspaper - Business Insider,14,6729,Reimbursements
