content,file,entity_id,entity_type,entity_specificity,mention_id,mention_text,mention_type,mention_offset,label_polarity
"I have many friends and a large family in Sicily.My friends and family revere Casson, as do many Italians, more for his courage than anything else.He is like Giovanni Falcone, the magistrate from Palermo who was so successful in prosecuting Mafia guys in the Maxi Trials, and got blown up for it along with his family.",010aaf594ae6ef20eb28e3ee26038375,ent-99,GPE,specific,m-666,Italians,NAM,3631,pos
"I have many friends and a large family in Sicily.My friends and family revere Casson, as do many Italians, more for his courage than anything else.He is like Giovanni Falcone, the magistrate from Palermo who was so successful in prosecuting Mafia guys in the Maxi Trials, and got blown up for it along with his family.",010aaf594ae6ef20eb28e3ee26038375,ent-1241,PER,specific,m-1235,many Italians,NOM,3626,pos
More bull.He does not want the terrorists to win and your just throwing flame bait to make the claim.He identifies one possible harm and wants to minimize the chances of that happening.,018fb4e59ac5474167ffc5940d7e55e7,ent-30,PER,specific,m-282,your,PRO,3022,neg
Now you and I disagree with him on the potential of that happening and the concomitant damage that will occur if his solution is implemented but that in no way implies his desire for a terrorist victory.Shame on you.None,018fb4e59ac5474167ffc5940d7e55e7,ent-30,PER,specific,m-294,you,PRO,3369,neg
He did not say he wanted to have a great working machine.What does it take for us to shit can them?None,01f69c4c2206e7c3fa3706ccd5b8b350,ent-51,ORG,specific,m-267,them,PRO,2409,neg
"None
To the OP and those that seem to be in agreement with it's bogus implication...

...willful ignorance and half-baked hyperbolic nonsense is not a compelling argument.None",026bd1c7eae9f14da9480a4b88ba2fb6,ent-42,PER,specific,m-258,those that seem to be in agreement with it's bogus implication,NOM,1947,neg
"None
To the OP and those that seem to be in agreement with it's bogus implication...

...willful ignorance and half-baked hyperbolic nonsense is not a compelling argument.None",026bd1c7eae9f14da9480a4b88ba2fb6,ent-42,PER,specific,m-264,those that seem to be in agreement with it's bogus implication,NOM,2431,neg
"None
To the OP and those that seem to be in agreement with it's bogus implication...

...willful ignorance and half-baked hyperbolic nonsense is not a compelling argument.None",026bd1c7eae9f14da9480a4b88ba2fb6,ent-42,PER,specific,m-270,those that seem to be in agreement with it's bogus implication,NOM,3487,neg
"None
To the OP and those that seem to be in agreement with it's bogus implication...

...willful ignorance and half-baked hyperbolic nonsense is not a compelling argument.None",026bd1c7eae9f14da9480a4b88ba2fb6,ent-81,PER,specific,m-624,the OP,NOM,2420,neg
"None
To the OP and those that seem to be in agreement with it's bogus implication...

...willful ignorance and half-baked hyperbolic nonsense is not a compelling argument.None",026bd1c7eae9f14da9480a4b88ba2fb6,ent-81,PER,specific,m-630,the OP,NOM,3476,neg
"None

Attempting to assign a motive to this nutbag is just silly.None",026bd1c7eae9f14da9480a4b88ba2fb6,ent-33,PER,specific,m-222,this nutbag,NOM,1805,neg
"The career conspiracy exploiters and the lunatics they exploit, we're already familiar with.But there's a significant segment of the most recent wave of Internet truther trolls that appears to be more motivated by direct sympathy for the same Islamic fundamentalist Jihadist ideals (which after cutting through the centuries-old political and religious smokescreens basically come down to ""stop giving human rights to women or we lose all hope of getting laid"") that motivated the 9/11 attacks in the first place.The Jihadists have little hope of being able to hijack any more planes so easily.",0648a08469a3be9eb972f0d213562805,ent-69,PER,specific,m-561,the most recent wave of Internet truther trolls,NOM,2277,neg
"The career conspiracy exploiters and the lunatics they exploit, we're already familiar with.But there's a significant segment of the most recent wave of Internet truther trolls that appears to be more motivated by direct sympathy for the same Islamic fundamentalist Jihadist ideals (which after cutting through the centuries-old political and religious smokescreens basically come down to ""stop giving human rights to women or we lose all hope of getting laid"") that motivated the 9/11 attacks in the first place.The Jihadists have little hope of being able to hijack any more planes so easily.",0648a08469a3be9eb972f0d213562805,ent-66,PER,specific,m-555,a significant segment of the most recent wave of Internet truther trolls,NOM,2252,neg
"I've been asked why I'm so opposed to a second investigation.I usually blurt out that the truth movements goal is not a second investigation, their goal is to absolve al Qaeda of the murder of thousands of innocent people and that makes me mad.Really, really mad.",0648a08469a3be9eb972f0d213562805,ent-27,PER,specific,m-309,the truth movements,NOM,3435,neg
"The same principle applies here.Those who died on 9/11 deserve better than to have their murderers excused as puppets, or whatever the latest fantasy they've dreamed up is.It's too sick.",0648a08469a3be9eb972f0d213562805,ent-27,PER,specific,m-327,they,PRO,1289,neg
"Well, that's it.That's why I no longer laugh at them.I prefer to spit.",0648a08469a3be9eb972f0d213562805,ent-27,PER,specific,m-333,them,PRO,1377,neg
"I've been asked why I'm so opposed to a second investigation.I usually blurt out that the truth movements goal is not a second investigation, their goal is to absolve al Qaeda of the murder of thousands of innocent people and that makes me mad.Really, really mad.",0648a08469a3be9eb972f0d213562805,ent-27,PER,specific,m-345,their,PRO,3491,neg
"So why do I still wish sense to be bashed into their silly heads?Quite simply because they're pissing on the graves of those who died.If someone you cared about was murdered, for whatever reason, and the perpetrator was exonerated, if that's the word I want, in favour of an innocent party, I'd be pretty bloody upset.",0648a08469a3be9eb972f0d213562805,ent-27,PER,specific,m-363,they,PRO,903,neg
"I shouldn't want to punch the nincompoops, but I do.So why do I still wish sense to be bashed into their silly heads?Quite simply because they're pissing on the graves of those who died.",0648a08469a3be9eb972f0d213562805,ent-27,PER,specific,m-369,their,PRO,862,neg
"The evidence is lies.They're faced with bloody horrific in your face proof that they're wrong and they ask silly childish questions about millisecond anomolies.I shouldn't want to punch the nincompoops, but I do.",0648a08469a3be9eb972f0d213562805,ent-27,PER,specific,m-381,They,PRO,620,neg
"The evidence is lies.They're faced with bloody horrific in your face proof that they're wrong and they ask silly childish questions about millisecond anomolies.I shouldn't want to punch the nincompoops, but I do.",0648a08469a3be9eb972f0d213562805,ent-27,PER,specific,m-387,they,PRO,679,none
"The evidence is lies.They're faced with bloody horrific in your face proof that they're wrong and they ask silly childish questions about millisecond anomolies.I shouldn't want to punch the nincompoops, but I do.",0648a08469a3be9eb972f0d213562805,ent-27,PER,specific,m-393,they,PRO,697,neg
"They're faced with bloody horrific in your face proof that they're wrong and they ask silly childish questions about millisecond anomolies.I shouldn't want to punch the nincompoops, but I do.So why do I still wish sense to be bashed into their silly heads?",0648a08469a3be9eb972f0d213562805,ent-27,PER,specific,m-399,the nincompoops,NOM,787,neg
They ignore them.They're faced with evidence.The evidence is lies.,0648a08469a3be9eb972f0d213562805,ent-27,PER,specific,m-405,They,PRO,568,neg
They're faced with facts.They ignore them.They're faced with evidence.,0648a08469a3be9eb972f0d213562805,ent-27,PER,specific,m-411,They,PRO,549,neg
Sooner or later every debunker reaches the stage where they just want to whack the miscreant round the head and tell him not to be stupid.They're faced with facts.They ignore them.,0648a08469a3be9eb972f0d213562805,ent-27,PER,specific,m-417,They,PRO,523,none
"OK, I'm not not engineer or architect or pilot, which will surprise no-one who has ever had to delete one of my posts, but for God's sake, it's just reached risible levels now.Sooner or later every debunker reaches the stage where they just want to whack the miscreant round the head and tell him not to be stupid.They're faced with facts.",0648a08469a3be9eb972f0d213562805,ent-27,PER,specific,m-845,the miscreant,NOM,462,neg
"OK, I'm not not engineer or architect or pilot, which will surprise no-one who has ever had to delete one of my posts, but for God's sake, it's just reached risible levels now.Sooner or later every debunker reaches the stage where they just want to whack the miscreant round the head and tell him not to be stupid.They're faced with facts.",0648a08469a3be9eb972f0d213562805,ent-27,PER,specific,m-851,him,PRO,500,neg
"I prefer to spit.Those idiots at the memorial last week...hmmm, let's just say, I wish everyone there had just flicked the V sign at them and thrown the odd bottle of urine, just as if it was a crap band on the stage.Bananaman (The pissed off)

p.s.",0648a08469a3be9eb972f0d213562805,ent-1267,PER,nonspecific,m-1261,a crap band on the stage,NOM,1577,neg
"None
As the eager easily-duped suburban kids move on to new fads and become thin on the ground and the ""say anything as long as it's against Bush"" contingent see increasing alternative avenues for their political disaffection, we're seeing the residue of the movement and their nature and motivations are becoming clearer.The anti-Semites and Nazis, we're already familiar with.",0648a08469a3be9eb972f0d213562805,ent-39,PER,specific,m-465,the eager easily-duped suburban kids,NOM,1774,neg
I'm open minded and I just don't take things as personally as others do.The only person that I absolutely cannot keep my cool with is a truther.I've been asked why I'm so opposed to a second investigation.,0648a08469a3be9eb972f0d213562805,ent-51,PER,nonspecific,m-942,a truther,NOM,3337,neg
I'm open minded and I just don't take things as personally as others do.The only person that I absolutely cannot keep my cool with is a truther.I've been asked why I'm so opposed to a second investigation.,0648a08469a3be9eb972f0d213562805,ent-51,PER,nonspecific,m-1204,The only person that I absolutely cannot keep my cool with,NOM,3275,neg
"I prefer to spit.Those idiots at the memorial last week...hmmm, let's just say, I wish everyone there had just flicked the V sign at them and thrown the odd bottle of urine, just as if it was a crap band on the stage.Bananaman (The pissed off)

p.s.",0648a08469a3be9eb972f0d213562805,ent-33,PER,specific,m-447,Those idiots at the memorial last week,NOM,1402,neg
"I prefer to spit.Those idiots at the memorial last week...hmmm, let's just say, I wish everyone there had just flicked the V sign at them and thrown the odd bottle of urine, just as if it was a crap band on the stage.Bananaman (The pissed off)

p.s.",0648a08469a3be9eb972f0d213562805,ent-33,PER,specific,m-453,them,PRO,1518,neg
"The career conspiracy exploiters and the lunatics they exploit, we're already familiar with.But there's a significant segment of the most recent wave of Internet truther trolls that appears to be more motivated by direct sympathy for the same Islamic fundamentalist Jihadist ideals (which after cutting through the centuries-old political and religious smokescreens basically come down to ""stop giving human rights to women or we lose all hope of getting laid"") that motivated the 9/11 attacks in the first place.The Jihadists have little hope of being able to hijack any more planes so easily.",0648a08469a3be9eb972f0d213562805,ent-1285,PER,nonspecific,m-1279,Internet truther trolls,NOM,2301,neg
"None
I happened to watch a news review on Sky News this morning in which a bunch of journo's were bleating on that we shouldn't condemn all the ""innocent"" and hard working journalists at News International just because a whole bunch of hacks at the Sun were arrested... because that would cause untold damage to the whole media industry.Oh poor them.",0659c87d9fd3d5efd258ee6de3ba1003,ent-42,PER,specific,m-168,"all the ""innocent"" and hard working journalists at News International",NOM,197,pos
"None
I happened to watch a news review on Sky News this morning in which a bunch of journo's were bleating on that we shouldn't condemn all the ""innocent"" and hard working journalists at News International just because a whole bunch of hacks at the Sun were arrested... because that would cause untold damage to the whole media industry.Oh poor them.",0659c87d9fd3d5efd258ee6de3ba1003,ent-45,PER,specific,m-174,a whole bunch of hacks at the Sun,NOM,280,neg
"None
I happened to watch a news review on Sky News this morning in which a bunch of journo's were bleating on that we shouldn't condemn all the ""innocent"" and hard working journalists at News International just because a whole bunch of hacks at the Sun were arrested... because that would cause untold damage to the whole media industry.Oh poor them.",0659c87d9fd3d5efd258ee6de3ba1003,ent-39,PER,specific,m-162,a bunch of journo's,NOM,134,neg
"
The media condemning bankers is akin to a witch hunt, Stephen Hester was given just a £6.5M bonus in 2010 yet JPMorgan's top executive was paid $21M that year.Stephen Hester was employed because of his excellent show of skills after his success in safely defusing the explosive capital-market business of Abbey National.The media seem to have mixed up the man responsible for the merge with ABN Amro with the man responsible for fixing the failure of RBS.",0659c87d9fd3d5efd258ee6de3ba1003,ent-21,PER,specific,m-96,Stephen Hester,NAM,1465,pos
"
The media condemning bankers is akin to a witch hunt, Stephen Hester was given just a £6.5M bonus in 2010 yet JPMorgan's top executive was paid $21M that year.Stephen Hester was employed because of his excellent show of skills after his success in safely defusing the explosive capital-market business of Abbey National.The media seem to have mixed up the man responsible for the merge with ABN Amro with the man responsible for fixing the failure of RBS.",0659c87d9fd3d5efd258ee6de3ba1003,ent-21,PER,specific,m-108,his,PRO,1504,pos
"
The media condemning bankers is akin to a witch hunt, Stephen Hester was given just a £6.5M bonus in 2010 yet JPMorgan's top executive was paid $21M that year.Stephen Hester was employed because of his excellent show of skills after his success in safely defusing the explosive capital-market business of Abbey National.The media seem to have mixed up the man responsible for the merge with ABN Amro with the man responsible for fixing the failure of RBS.",0659c87d9fd3d5efd258ee6de3ba1003,ent-21,PER,specific,m-114,his,PRO,1539,pos
You tell me.This country has lost sight of itself.None,086e26ec92d1cc02f3900e9ac46d6962,ent-93,GPE,specific,m-783,This country,NOM,3166,neg
You tell me.This country has lost sight of itself.None,086e26ec92d1cc02f3900e9ac46d6962,ent-93,GPE,specific,m-1265,itself,PRO,3197,neg
"None
I think the guys that fled to Canada were heros too.They gave up the comforts of home and being surrounded by friends and family let alone there status as wanted criminals.",086e26ec92d1cc02f3900e9ac46d6962,ent-75,PER,specific,m-711,the guys that fled to Canada,NOM,3953,pos
"
I think the guys that fled to Canada were heros too.They gave up the comforts of home and being surrounded by friends and family let alone there status as wanted criminals.Everyone made choices in that horrible war, we all wre affected.",086e26ec92d1cc02f3900e9ac46d6962,ent-75,PER,specific,m-717,They,PRO,3998,pos
"
I think the guys that fled to Canada were heros too.They gave up the comforts of home and being surrounded by friends and family let alone there status as wanted criminals.Everyone made choices in that horrible war, we all wre affected.",086e26ec92d1cc02f3900e9ac46d6962,ent-75,PER,specific,m-723,there,PRO,4085,pos
"As low a person as you think I am, I am really OK.I live, I breath, I love, I bleed red blood and I am one of those whose ""worst qualities of an age and much of a generation notable mostly for its narcism and self-indulgence.The irony of wistful recollections of past protest adventures clothed as they were in a style and form so like their own caricatures of the ""reactionary"" forces they opposed"" and yet I fought on the ground in Viet Nam.",086e26ec92d1cc02f3900e9ac46d6962,ent-36,PER,specific,m-1175,"one of those whose ""worst qualities of an age and much of a generation notable mostly for its narcism and self-indulgence",NOM,1022,neg
"None
Georgeob1....I sat on the curbstone with my friends as they shed their tears, the rough tough macho guys, as I'm sure we all did, and listened to them pour their hearts out, 'if they came home alive', the guys that were ""lucky"" to come back, and not in a body bag, ball less, legless, armless, footless.or in a wheelchair forever.",086e26ec92d1cc02f3900e9ac46d6962,ent-1256,PER,specific,m-1250,"the guys that were ""lucky"" to come back",NOM,3007,pos
"None
Joanne, the reason I have refused to argue about Jesse is because his detractors are too irrational about it.They all parrot identical words and phrases like they all memorized the same little pamphlet.",086e26ec92d1cc02f3900e9ac46d6962,ent-54,PER,specific,m-555,his detractors,NOM,2401,neg
"
Joanne, the reason I have refused to argue about Jesse is because his detractors are too irrational about it.They all parrot identical words and phrases like they all memorized the same little pamphlet.As soon as you say anything in his defense they morph into ""Jesse and Al sharpton"".",086e26ec92d1cc02f3900e9ac46d6962,ent-54,PER,specific,m-561,They,PRO,2445,neg
"
Joanne, the reason I have refused to argue about Jesse is because his detractors are too irrational about it.They all parrot identical words and phrases like they all memorized the same little pamphlet.As soon as you say anything in his defense they morph into ""Jesse and Al sharpton"".",086e26ec92d1cc02f3900e9ac46d6962,ent-54,PER,specific,m-567,they,PRO,2494,neg
"They all parrot identical words and phrases like they all memorized the same little pamphlet.As soon as you say anything in his defense they morph into ""Jesse and Al sharpton"".Any more and it's suddenly ""Jesse and Al sharpton and farakhan"".",086e26ec92d1cc02f3900e9ac46d6962,ent-54,PER,specific,m-573,they,PRO,2582,neg
"None
george, I wanted to add one very important thing, I go a lot with gut feeling - it's my way.I feel you are a good man, I truly like you.",086e26ec92d1cc02f3900e9ac46d6962,ent-33,PER,specific,m-315,george,NAM,3611,pos
"
george, I wanted to add one very important thing, I go a lot with gut feeling - it's my way.I feel you are a good man, I truly like you.One person's higher morals - another person sees as a fault.",086e26ec92d1cc02f3900e9ac46d6962,ent-33,PER,specific,m-321,you,PRO,3744,pos
"
george, I wanted to add one very important thing, I go a lot with gut feeling - it's my way.I feel you are a good man, I truly like you.One person's higher morals - another person sees as a fault.",086e26ec92d1cc02f3900e9ac46d6962,ent-33,PER,specific,m-327,you,PRO,3711,pos
"
george, I wanted to add one very important thing, I go a lot with gut feeling - it's my way.I feel you are a good man, I truly like you.One person's higher morals - another person sees as a fault.",086e26ec92d1cc02f3900e9ac46d6962,ent-33,PER,specific,m-1667,a good man,NOM,3719,pos
"

I guess if you ignore the fact that he can't submit budgets...is the first American President to have our credit rating downgraded...ran up more debt in a shorter amount of time than anyone in history...has a ""signature"" piece of legislation, ObamaCare, that not only doesn't lower health care cost but is probably the most badly written law ever and will be ruled unconstitutional...appointed the same man who got Marc Rich off for a lump sum payment to the Clintons as his Attorney General...appointed a man who couldn't figure out TurboTax as our Treasury Secretary...fast tracked Solyndra and made it the ""showcase"" of his green jobs initiative...spent a trillion dollars on his ""stimulus"" only to see unemployment go from 8% to over 10...stonewalled drilling permits in the Gulf and the oil pipeline to placate his environmental base while throwing tens of thousands of jobless Americans under the bus...gave us expensive programs like Cash for Clunkers that ate up billions of taxpayer dollars and didn't jumpstart the economy...has deteriorated our relationship with Israel to it's worst state ever while he tried to ""reason"" with Iran...has no coherent energy policy...no coherent housing policy...no coherent trade policy...has shown absolutely no ability to forge a bipartisan approach to governing...and has spent the majority of his time campaigning for a second term rather than doing the actual job of President.Other than all that...he's just great, Marc!!!",087f58983ef5e94e54024bc9f0f009ae,ent-27,PER,specific,m-435,he,PRO,4986,pos
"None

Nope, sorry, liar... You a dumbass...The U.S. Department of Justice seal bears a Latin phrase: ""Qui Pro Domina Justitia Sequitur.""",087f58983ef5e94e54024bc9f0f009ae,ent-18,PER,specific,m-213,liar,NOM,595,neg
"None
Sorry, liar, but the case that was brought and won against the NBP was DISMISSED by the direct orders of the RACIST Eric Holder.None",087f58983ef5e94e54024bc9f0f009ae,ent-18,PER,specific,m-219,liar,NOM,179,neg
"But under President Barack Obama's politically corrupt DOJ, Lady Justice is getting the shaft.To wit: Let's examine the uproar over Attorney General Eric Holder's decision to protect hate-mongering thugs who harassed and bullied precinct workers and voters on Election Day in Philadelphia.Oh, wait.",087f58983ef5e94e54024bc9f0f009ae,ent-30,PER,specific,m-531,hate-mongering thugs who harassed and bullied precinct workers and voters,NOM,986,neg
"None
Had it been any one of those other palookas, say, Cain'n'Palin the country would have been in shambles.Obama has pulled the country back from the brink of disaster that Bush'n'Cheney had left it in.",087f58983ef5e94e54024bc9f0f009ae,ent-1816,PER,nonspecific,m-1810,those other palookas,NOM,2196,neg
Here in Yellowknife there is a reservation by the old town and you don't need to see the teepee to know you've crossed some kind of border.In an instant the houses viewed have not received a coat of paint in years.Broken down cars and skidoos litter yards and unlike the neighborhood 10 metres away they have cut down almost every tree.,08ebdc5f0ec8588af38ab1684318d99c,ent-90,FAC,specific,m-450,the houses viewed,NOM,700,neg
I'm getting tired of seeing it and wondering what can be done.The bleeding heart efforts have done nothing but bred a generation of people who refuse to work and blame everyone for their issues.A glaring example is the death of a small child in Australia who was electrocuted inside a wall.,08ebdc5f0ec8588af38ab1684318d99c,ent-1036,PER,specific,m-1030,a generation of people who refuse to work and blame everyone for their issues,NOM,1280,neg
"All we can do is to protect the children as well as we can with law enforcement, health care and adequate housing, and to provide the educational opportunities for those who want to do better to do so, so that they can work out for themselves that the should leave.If the rest of them want to live miserable squalid lives, despite the efforts of the broader Australian and Canadian communities to make amens for the wrongs of the past by providing all they need to take the opportunity for a better life, then we can all go to sleep at night with a clear concience.I know I do.",08ebdc5f0ec8588af38ab1684318d99c,ent-45,PER,specific,m-288,the broader Australian and Canadian communities,NOM,4852,pos
"All we can do is to protect the children as well as we can with law enforcement, health care and adequate housing, and to provide the educational opportunities for those who want to do better to do so, so that they can work out for themselves that the should leave.If the rest of them want to live miserable squalid lives, despite the efforts of the broader Australian and Canadian communities to make amens for the wrongs of the past by providing all they need to take the opportunity for a better life, then we can all go to sleep at night with a clear concience.I know I do.",08ebdc5f0ec8588af38ab1684318d99c,ent-45,PER,specific,m-863,they,PRO,4958,neg
So if the kids don't kill themselves they end up in jail and it's every ones fault other than their own.I do understand some of the hardships in recent memory that need to overcome such as the stolen generation and residential schools.This sympathy only stretches a finite amount though.,08ebdc5f0ec8588af38ab1684318d99c,ent-1265,FAC,specific,m-1259,residential schools,NOM,2957,neg
It would be hard not to use that which leads me to feel it should be abolished as well.My missus dislikes my hard heart attitude but I can draw so many parallels with Africa it's not good.Is there some sort of middle ground?,08ebdc5f0ec8588af38ab1684318d99c,ent-99,LOC,specific,m-492,Africa,NAM,3752,neg
Suicide rates are sky high indicting desperation and sadness.So if the kids don't kill themselves they end up in jail and it's every ones fault other than their own.I do understand some of the hardships in recent memory that need to overcome such as the stolen generation and residential schools.,08ebdc5f0ec8588af38ab1684318d99c,ent-1256,PER,specific,m-1250,their,PRO,2834,neg
"None

I'm wondering if it's time to give these tiny outpost communities some hard choices.Either live out bush like your ancestors and be done with it or move closer to larger settlements.",08ebdc5f0ec8588af38ab1684318d99c,ent-96,LOC,specific,m-468,these tiny outpost communities,NOM,2429,neg
Either live out bush like your ancestors and be done with it or move closer to larger settlements.These communities are disgusting and a drain on the rest of us.There seems no hope in these areas.,08ebdc5f0ec8588af38ab1684318d99c,ent-96,LOC,specific,m-474,These communities,NOM,2578,neg
These communities are disgusting and a drain on the rest of us.There seems no hope in these areas.Suicide rates are sky high indicting desperation and sadness.,08ebdc5f0ec8588af38ab1684318d99c,ent-96,LOC,specific,m-480,these areas,NOM,2665,neg
"Unfortunately white people lecturing them on this won't change their minds, it just pisses them off.All we can do is to protect the children as well as we can with law enforcement, health care and adequate housing, and to provide the educational opportunities for those who want to do better to do so, so that they can work out for themselves that the should leave.If the rest of them want to live miserable squalid lives, despite the efforts of the broader Australian and Canadian communities to make amens for the wrongs of the past by providing all they need to take the opportunity for a better life, then we can all go to sleep at night with a clear concience.",08ebdc5f0ec8588af38ab1684318d99c,ent-839,PER,specific,m-833,those who want to do better,NOM,4669,pos
"None
I agree that people in Aboriginal communities need to help themselves if they are going to have a decent standard of living and helping themselves usually involves leaving the dust bowls where they live for somewhere where there is economic opportunity.Many from Aboriginal communities know that as well,they are usually the ones who have left.",08ebdc5f0ec8588af38ab1684318d99c,ent-1481,LOC,nonspecific,m-1475,somewhere where there is economic opportunity,NOM,4264,pos
It would be hard not to use that which leads me to feel it should be abolished as well.My missus dislikes my hard heart attitude but I can draw so many parallels with Africa it's not good.Is there some sort of middle ground?,08ebdc5f0ec8588af38ab1684318d99c,ent-8,PER,specific,m-198,my,PRO,3691,neg
In an instant the houses viewed have not received a coat of paint in years.Broken down cars and skidoos litter yards and unlike the neighborhood 10 metres away they have cut down almost every tree.Whatever happened to being in tune with nature?,08ebdc5f0ec8588af38ab1684318d99c,ent-1192,LOC,specific,m-1186,the neighborhood,NOM,815,pos
Or the reverse racist laws that have kept me out of my field of work for five months because I'm the wrong colour.The kicker there is that my family is close to getting our status back and even then I am the wrong type of indian.... Of course ticking that aboriginal box gives me an unfair advantage over someone who is more qualified.It would be hard not to use that which leads me to feel it should be abolished as well.,08ebdc5f0ec8588af38ab1684318d99c,ent-1289,PER,specific,m-1283,someone,PRO,3552,pos
"None
I agree that people in Aboriginal communities need to help themselves if they are going to have a decent standard of living and helping themselves usually involves leaving the dust bowls where they live for somewhere where there is economic opportunity.Many from Aboriginal communities know that as well,they are usually the ones who have left.",08ebdc5f0ec8588af38ab1684318d99c,ent-743,LOC,specific,m-737,the dust bowls,NOM,4229,neg
Any ideas on what should be done because we are going nowhere and things that are being tried only breed resentment and anger.An example there is fishing rights then natives trying to sell caught fish for profit.Or the reverse racist laws that have kept me out of my field of work for five months because I'm the wrong colour.,08ebdc5f0ec8588af38ab1684318d99c,ent-1395,PER,nonspecific,m-1389,natives trying to sell caught fish for profit,NOM,3199,neg
Suicide rates are sky high indicting desperation and sadness.So if the kids don't kill themselves they end up in jail and it's every ones fault other than their own.I do understand some of the hardships in recent memory that need to overcome such as the stolen generation and residential schools.,08ebdc5f0ec8588af38ab1684318d99c,ent-1220,PER,specific,m-1214,the kids,NOM,2746,neg
Suicide rates are sky high indicting desperation and sadness.So if the kids don't kill themselves they end up in jail and it's every ones fault other than their own.I do understand some of the hardships in recent memory that need to overcome such as the stolen generation and residential schools.,08ebdc5f0ec8588af38ab1684318d99c,ent-1220,PER,specific,m-1223,themselves,PRO,2766,neg
Suicide rates are sky high indicting desperation and sadness.So if the kids don't kill themselves they end up in jail and it's every ones fault other than their own.I do understand some of the hardships in recent memory that need to overcome such as the stolen generation and residential schools.,08ebdc5f0ec8588af38ab1684318d99c,ent-1220,PER,specific,m-1229,they,PRO,2777,neg
"None
What the hell is going on with aboriginals around the planet.I've just come home from a long stint in Australia thinking that aboriginals back in Canada are far better off (relatively speaking) and now we have the Red Cross out at Attawapiskat community.",08ebdc5f0ec8588af38ab1684318d99c,ent-1183,PER,specific,m-1177,aboriginals around the planet,NOM,105,neg
In Australia you know straight away the difference as soon as you arrive in an aboriginal community.They are run down garbage everywhere with people just sitting about doing nothing.In Canada it seems no better.,08ebdc5f0ec8588af38ab1684318d99c,ent-905,PER,specific,m-1383,They,PRO,432,neg
In an instant the houses viewed have not received a coat of paint in years.Broken down cars and skidoos litter yards and unlike the neighborhood 10 metres away they have cut down almost every tree.Whatever happened to being in tune with nature?,08ebdc5f0ec8588af38ab1684318d99c,ent-991,PER,specific,m-985,they,PRO,847,neg
