file,label_polarity,rel_arg1_context,rel_arg1_entity_specificity,rel_arg1_entity_type,rel_arg1_id,rel_arg1_mention_id,rel_arg1_mention_length,rel_arg1_mention_noun_type,rel_arg1_mention_offset,rel_arg1_role,rel_arg1_text,rel_arg2_context,rel_arg2_entity_specificity,rel_arg2_entity_type,rel_arg2_id,rel_arg2_is_filler,rel_arg2_mention_id,rel_arg2_mention_length,rel_arg2_mention_noun_type,rel_arg2_mention_offset,rel_arg2_role,rel_arg2_text,relation_id,relation_mention_id,relation_mention_realis,relation_subtype,relation_type,trigger_context,trigger_length,trigger_offset,trigger_text
0ba982819aaf9f5b94a7cebd48ac6018,neg,"I wonder if Jeb would bow before the the Saudi Monarch, hold his hand, and walk on grass so that the filthy muslim dictator could use the concrete sidewalk like your tyrannical hero George the II did?Of course he would.The Bushes have been in bed with the Saudis for decades.Why do you think Bush let all the Saudis get out of the country on chartered jets so fast after 9/11?He's as good as.Maybe even better because he knows how to run a big state.",specific,PER,ent-39,m-402,6,NAM,341,per,Bushes,"I wonder if Jeb would bow before the the Saudi Monarch, hold his hand, and walk on grass so that the filthy muslim dictator could use the concrete sidewalk like your tyrannical hero George the II did?Of course he would.The Bushes have been in bed with the Saudis for decades.Why do you think Bush let all the Saudis get out of the country on chartered jets so fast after 9/11?He's as good as.Maybe even better because he knows how to run a big state.",specific,PER,ent-51,0,m-546,10,NOM,370,per,the Saudis,r-249,relm-716,true,business,personalsocial,The Bushes have been in bed with the Saudis for decades.,11,358,in bed with
0ba982819aaf9f5b94a7cebd48ac6018,neg,"I wonder if Jeb would bow before the the Saudi Monarch, hold his hand, and walk on grass so that the filthy muslim dictator could use the concrete sidewalk like your tyrannical hero George the II did?Of course he would.The Bushes have been in bed with the Saudis for decades.Why do you think Bush let all the Saudis get out of the country on chartered jets so fast after 9/11?",specific,PER,ent-21,m-228,26,NOM,202,per,the filthy muslim dictator,"I wonder if Jeb would bow before the the Saudi Monarch, hold his hand, and walk on grass so that the filthy muslim dictator could use the concrete sidewalk like your tyrannical hero George the II did?Of course he would.The Bushes have been in bed with the Saudis for decades.Why do you think Bush let all the Saudis get out of the country on chartered jets so fast after 9/11?",specific,PER,ent-874,0,m-868,6,NAM,213,entity,muslim,r-250,relm-877,true,more,generalaffiliation,"I wonder if Jeb would bow before the the Saudi Monarch, hold his hand, and walk on grass so that the filthy muslim dictator could use the concrete sidewalk like your tyrannical hero George the II did?",6,213,muslim
0ba982819aaf9f5b94a7cebd48ac6018,pos,"He's as good as.Maybe even better because he knows how to run a big state.Florida did well while he was Gov.And Jeb's executive experience would come in handy as a Senator... how?Ya got it scrambled:His senate experience will compliment his executive experience for the next rung on the ladder.Hell, America just elected a junior Senator with zero executive experince.Just think how better qualified Jeb would be!",specific,PER,ent-18,m-108,3,NAM,796,per,Jeb,"He's as good as.Maybe even better because he knows how to run a big state.Florida did well while he was Gov.And Jeb's executive experience would come in handy as a Senator... how?Ya got it scrambled:His senate experience will compliment his executive experience for the next rung on the ladder.Hell, America just elected a junior Senator with zero executive experince.Just think how better qualified Jeb would be!",None,title,f-902,1,None,7,None,848,role,Senator,r-251,relm-894,false,role,personalsocial,And Jeb's executive experience would come in handy as a Senator... how?,2,843,as
0ba982819aaf9f5b94a7cebd48ac6018,pos,"Just think how better qualified Jeb would be!!America won't vote for another Bush for president.And Jeb's executive experience would come in handy as a Senator... how?Ya got it scrambled:His senate experience will compliment his executive experience for the next rung on the ladder.Hell, America just elected a junior Senator with zero executive experince.Just think how better qualified Jeb would be!",specific,PER,ent-18,m-132,3,NAM,1494,per,Jeb,"Just think how better qualified Jeb would be!!America won't vote for another Bush for president.And Jeb's executive experience would come in handy as a Senator... how?Ya got it scrambled:His senate experience will compliment his executive experience for the next rung on the ladder.Hell, America just elected a junior Senator with zero executive experince.Just think how better qualified Jeb would be!",None,title,f-1411,1,None,7,None,1546,role,Senator,r-251,relm-1403,false,role,personalsocial,And Jeb's executive experience would come in handy as a Senator... how?,2,1541,as
0ba982819aaf9f5b94a7cebd48ac6018,neg,"I wonder if Jeb would bow before the the Saudi Monarch, hold his hand, and walk on grass so that the filthy muslim dictator could use the concrete sidewalk like your tyrannical hero George the II did?Of course he would.The Bushes have been in bed with the Saudis for decades.Why do you think Bush let all the Saudis get out of the country on chartered jets so fast after 9/11?He's as good as.Maybe even better because he knows how to run a big state.",specific,PER,ent-51,m-546,10,NOM,370,per,the Saudis,"I wonder if Jeb would bow before the the Saudi Monarch, hold his hand, and walk on grass so that the filthy muslim dictator could use the concrete sidewalk like your tyrannical hero George the II did?Of course he would.The Bushes have been in bed with the Saudis for decades.Why do you think Bush let all the Saudis get out of the country on chartered jets so fast after 9/11?He's as good as.Maybe even better because he knows how to run a big state.",specific,GPE,ent-57,0,m-913,6,NAM,374,entity,Saudis,r-252,relm-925,true,more,generalaffiliation,The Bushes have been in bed with the Saudis for decades.,6,374,Saudis
0ba982819aaf9f5b94a7cebd48ac6018,pos,"Maybe even better because he knows how to run a big state.Florida did well while he was Gov.And Jeb's executive experience would come in handy as a Senator... how?Ya got it scrambled:His senate experience will compliment his executive experience for the next rung on the ladder.Hell, America just elected a junior Senator with zero executive experince.Just think how better qualified Jeb would be!!",specific,PER,ent-18,m-114,3,PRO,896,employeemember,His,"Maybe even better because he knows how to run a big state.Florida did well while he was Gov.And Jeb's executive experience would come in handy as a Senator... how?Ya got it scrambled:His senate experience will compliment his executive experience for the next rung on the ladder.Hell, America just elected a junior Senator with zero executive experince.Just think how better qualified Jeb would be!!",specific,ORG,ent-54,0,m-1366,6,NAM,900,org,senate,r-253,relm-1393,true,employmentmembership,orgaffiliation,Ya got it scrambled:His senate experience will compliment his executive experience for the next rung on the ladder.,10,907,experience
0ba982819aaf9f5b94a7cebd48ac6018,pos,"!America won't vote for another Bush for president.And Jeb's executive experience would come in handy as a Senator... how?Ya got it scrambled:His senate experience will compliment his executive experience for the next rung on the ladder.Hell, America just elected a junior Senator with zero executive experince.Just think how better qualified Jeb would be!!",specific,PER,ent-18,m-138,3,PRO,1594,employeemember,His,"!America won't vote for another Bush for president.And Jeb's executive experience would come in handy as a Senator... how?Ya got it scrambled:His senate experience will compliment his executive experience for the next rung on the ladder.Hell, America just elected a junior Senator with zero executive experince.Just think how better qualified Jeb would be!!",specific,ORG,ent-54,0,m-1378,6,NAM,1598,org,senate,r-253,relm-1413,true,employmentmembership,orgaffiliation,Ya got it scrambled:His senate experience will compliment his executive experience for the next rung on the ladder.,10,1605,experience
0ba982819aaf9f5b94a7cebd48ac6018,pos,"!America won't vote for another Bush for president.and they sure as hell won't vote for an obiewanknownothingYa got it scrambled:His senate experience will compliment his executive experience for the next rung on the ladder.Hell, America just elected a junior Senator with zero executive experince.Just think how better qualified Jeb would be!!",specific,PER,ent-18,m-156,3,PRO,2279,employeemember,His,"!America won't vote for another Bush for president.and they sure as hell won't vote for an obiewanknownothingYa got it scrambled:His senate experience will compliment his executive experience for the next rung on the ladder.Hell, America just elected a junior Senator with zero executive experince.Just think how better qualified Jeb would be!!",specific,ORG,ent-54,0,m-1372,6,NAM,2283,org,senate,r-253,relm-1423,true,employmentmembership,orgaffiliation,Ya got it scrambled:His senate experience will compliment his executive experience for the next rung on the ladder.,10,2290,experience
0c49bb860962aa0d5b8e3fc277592da0,pos,It's the way he coached and ran that team as a family.Very few programs achieve that level of big-time football success with such a high level of academic success.Skip class?You're benched.,specific,PER,ent-18,m-90,2,PRO,110,leader,he,It's the way he coached and ran that team as a family.Very few programs achieve that level of big-time football success with such a high level of academic success.Skip class?You're benched.,specific,ORG,ent-69,0,m-630,9,NOM,129,entity,that team,r-254,relm-666,true,leadership,orgaffiliation,It's the way he coached and ran that team as a family.,3,125,ran
0c49bb860962aa0d5b8e3fc277592da0,neg,"He is certainly not faultless here and he knows and has said as much; his punishment is far more than a sad ending to an unmatched and otherwise extremely honorable career.It's living with knowing he could have done more.He has been in a position of knowing he could have done more for the last (around) 10 years so I don't see why it should now start being a punishment?I'm not sure, but to me a superb human being might be moved to get off his ass and go investigate when it's reported that one of his staffSandusky was not one of this staff.oops, sorry, I threw another fact in there.I keep forgetting they don't matter in this issue.",specific,PER,ent-60,m-570,9,NOM,3139,per,his staff,"He is certainly not faultless here and he knows and has said as much; his punishment is far more than a sad ending to an unmatched and otherwise extremely honorable career.It's living with knowing he could have done more.He has been in a position of knowing he could have done more for the last (around) 10 years so I don't see why it should now start being a punishment?I'm not sure, but to me a superb human being might be moved to get off his ass and go investigate when it's reported that one of his staffSandusky was not one of this staff.oops, sorry, I threw another fact in there.I keep forgetting they don't matter in this issue.",specific,PER,ent-18,0,m-204,3,PRO,3139,per,his,r-261,relm-736,true,business,personalsocial,"I'm not sure, but to me a superb human being might be moved to get off his ass and go investigate when it's reported that one of his staff",5,3143,staff
0c49bb860962aa0d5b8e3fc277592da0,neg,"Through the years, Joe could've made tons more money.He could've recruited better athletes and won more championships.But he had a love of that community - to which he's donated millions - and a dedication to honor first, and winning second.That's why it's so painful now to learn that in this critical instance Joe's moral compass sent him to the Bermuda Triangle.He really is a superb human being, but in this case he flat out failed to live up to anything near his own code of honor.That's the tragic irony and the cognitive dissonance here.Well said, thanks.",specific,PER,ent-18,m-126,3,PRO,1084,entity,him,"Through the years, Joe could've made tons more money.He could've recruited better athletes and won more championships.But he had a love of that community - to which he's donated millions - and a dedication to honor first, and winning second.That's why it's so painful now to learn that in this critical instance Joe's moral compass sent him to the Bermuda Triangle.He really is a superb human being, but in this case he flat out failed to live up to anything near his own code of honor.That's the tragic irony and the cognitive dissonance here.Well said, thanks.",specific,LOC,ent-81,0,m-660,16,NAM,1095,loc,Bermuda Triangle,r-263,relm-1075,false,locatednear,physical,That's why it's so painful now to learn that in this critical instance Joe's moral compass sent him to the Bermuda Triangle.,2,1088,to
0c49bb860962aa0d5b8e3fc277592da0,neg,"Through the years, Joe could've made tons more money.He could've recruited better athletes and won more championships.But he had a love of that community - to which he's donated millions - and a dedication to honor first, and winning second.That's why it's so painful now to learn that in this critical instance Joe's moral compass sent him to the Bermuda Triangle.He really is a superb human being, but in this case he flat out failed to live up to anything near his own code of honor.That's the tragic irony and the cognitive dissonance here.Well said, thanks.",specific,LOC,ent-81,m-660,16,NAM,1095,entity,Bermuda Triangle,"Through the years, Joe could've made tons more money.He could've recruited better athletes and won more championships.But he had a love of that community - to which he's donated millions - and a dedication to honor first, and winning second.That's why it's so painful now to learn that in this critical instance Joe's moral compass sent him to the Bermuda Triangle.He really is a superb human being, but in this case he flat out failed to live up to anything near his own code of honor.That's the tragic irony and the cognitive dissonance here.Well said, thanks.",specific,GPE,ent-75,0,m-648,7,NAM,1095,loc,Bermuda,r-264,relm-1085,true,locatednear,physical,None,None,None,None
0cfdfe102b7a4cb34e1a181c1d36d23d,neg,"Originally Posted by Martyn*Well, the Iranian Supreme Leader Ayatollah Ali Khamenei seems to think so, and round about now many people in this country would go along with him on that one.But I do not think our government is the only ""evil"" government.The U.S. government is certainly a close runner-up, if not first place!I am of course referring to America, the Federal Reserve and the banking cartel Oligarchs.There is certainly an ""evil"" elitism going on in the world right now.",specific,ORG,ent-45,m-324,14,NOM,304,suborg,our government,"Originally Posted by Martyn*Well, the Iranian Supreme Leader Ayatollah Ali Khamenei seems to think so, and round about now many people in this country would go along with him on that one.But I do not think our government is the only ""evil"" government.The U.S. government is certainly a close runner-up, if not first place!I am of course referring to America, the Federal Reserve and the banking cartel Oligarchs.There is certainly an ""evil"" elitism going on in the world right now.",specific,GPE,ent-66,0,m-1840,3,PRO,304,parent,our,r-298,relm-1900,true,subsidiary,partwhole,"But I do not think our government is the only ""evil"" government.",3,304,our
0cfdfe102b7a4cb34e1a181c1d36d23d,neg,"It is called the Vatican.We have the Tory partyBut was the Ayatollah right?Is our government the most ""evil"" in the world?Our government seems to put banks, big business and capitalism before the needs of the people (assuming that they do not need rampant capitalism and huge superstores).We bailed out the elite bankers with tax payers money and now the big businesses are sacking folk.We (not I) work for a ruling elite.",specific,ORG,ent-45,m-342,14,NOM,758,suborg,our government,"It is called the Vatican.We have the Tory partyBut was the Ayatollah right?Is our government the most ""evil"" in the world?Our government seems to put banks, big business and capitalism before the needs of the people (assuming that they do not need rampant capitalism and huge superstores).We bailed out the elite bankers with tax payers money and now the big businesses are sacking folk.We (not I) work for a ruling elite.",specific,GPE,ent-66,0,m-1846,3,PRO,758,parent,our,r-298,relm-1910,true,subsidiary,partwhole,"Is our government the most ""evil"" in the world?",3,758,our
0cfdfe102b7a4cb34e1a181c1d36d23d,neg,"We have the Tory partyBut was the Ayatollah right?Is our government the most ""evil"" in the world?Our government seems to put banks, big business and capitalism before the needs of the people (assuming that they do not need rampant capitalism and huge superstores).We bailed out the elite bankers with tax payers money and now the big businesses are sacking folk.We (not I) work for a ruling elite.We are, some would say, slaves on our own land.",specific,ORG,ent-45,m-336,14,NOM,804,suborg,Our government,"We have the Tory partyBut was the Ayatollah right?Is our government the most ""evil"" in the world?Our government seems to put banks, big business and capitalism before the needs of the people (assuming that they do not need rampant capitalism and huge superstores).We bailed out the elite bankers with tax payers money and now the big businesses are sacking folk.We (not I) work for a ruling elite.We are, some would say, slaves on our own land.",specific,GPE,ent-66,0,m-1852,3,PRO,804,parent,Our,r-298,relm-1920,true,subsidiary,partwhole,"Our government seems to put banks, big business and capitalism before the needs of the people (assuming that they do not need rampant capitalism and huge superstores).",3,804,Our
