em_arg_context,em_arg_entity_specificity,em_arg_entity_type,em_arg_id,em_arg_is_filler,em_arg_mention_id,em_arg_mention_length,em_arg_mention_noun_type,em_arg_mention_offset,em_arg_role,em_arg_text,event_mention_id,file,hopper_id
",acid throwing, the abominable practice offemale genital mutilation, andsexual abuse ?",nonspecific,PER,ent-1238,0,m-1232,6,NOM,2303,victim,female,em-1243,04134f2be20afbb868d7a8292f49e277,h-1264
" ?Not to forget the tradition ofBarter marriages, young girls forcefully married to much older men, and some in extreme cases married to Quran itself!One wonders why Pakistan is theworld's third most dangerous country for women to live in?",nonspecific,PER,ent-1339,0,m-1333,11,NOM,2602,person,young girls,em-1312,04134f2be20afbb868d7a8292f49e277,h-1367
" ?Not to forget the tradition ofBarter marriages, young girls forcefully married to much older men, and some in extreme cases married to Quran itself!One wonders why Pakistan is theworld's third most dangerous country for women to live in?",nonspecific,PER,ent-1348,0,m-1342,14,NOM,2636,person,much older men,em-1312,04134f2be20afbb868d7a8292f49e277,h-1367
Jails are filled with them and the life expectancy is much lower than the rest of both countries.I'm getting tired of seeing it and wondering what can be done.The bleeding heart efforts have done nothing but bred a generation of people who refuse to work and blame everyone for their issues.A glaring example is the death of a small child in Australia who was electrocuted inside a wall.The family then blamed the government for the dilapidated condition of the house.I'm sure the house came with a child sized hole kicked in already.Boy's electrocution was 'preventable' - ABC News (Australian Broadcasting Corporation),specific,PER,ent-18,0,m-216,61,NOM,1393,victim,a small child in Australia who was electrocuted inside a wall,em-665,08ebdc5f0ec8588af38ab1684318d99c,h-640
Jails are filled with them and the life expectancy is much lower than the rest of both countries.I'm getting tired of seeing it and wondering what can be done.The bleeding heart efforts have done nothing but bred a generation of people who refuse to work and blame everyone for their issues.A glaring example is the death of a small child in Australia who was electrocuted inside a wall.The family then blamed the government for the dilapidated condition of the house.I'm sure the house came with a child sized hole kicked in already.Boy's electrocution was 'preventable' - ABC News (Australian Broadcasting Corporation),specific,GPE,ent-69,0,m-390,9,NAM,1410,place,Australia,em-665,08ebdc5f0ec8588af38ab1684318d99c,h-640
I do understand some of the hardships in recent memory that need to overcome such as the stolen generation and residential schools.This sympathy only stretches a finite amount though.Any ideas on what should be done because we are going nowhere and things that are being tried only breed resentment and anger.An example there is fishing rights then natives trying to sell caught fish for profit.Or the reverse racist laws that have kept me out of my field of work for five months because I'm the wrong colour.The kicker there is that my family is close to getting our status back and even then I am the wrong type of indian.... Of course ticking that aboriginal box gives me an unfair advantage over someone who is more qualified.It would be hard not to use that which leads me to feel it should be abolished as well.,nonspecific,PER,ent-1395,0,m-1389,45,NOM,3199,giver,natives trying to sell caught fish for profit,em-1292,08ebdc5f0ec8588af38ab1684318d99c,h-1320
I do understand some of the hardships in recent memory that need to overcome such as the stolen generation and residential schools.This sympathy only stretches a finite amount though.Any ideas on what should be done because we are going nowhere and things that are being tried only breed resentment and anger.An example there is fishing rights then natives trying to sell caught fish for profit.Or the reverse racist laws that have kept me out of my field of work for five months because I'm the wrong colour.The kicker there is that my family is close to getting our status back and even then I am the wrong type of indian.... Of course ticking that aboriginal box gives me an unfair advantage over someone who is more qualified.It would be hard not to use that which leads me to feel it should be abolished as well.,None ,commodity,f-1317,1,None,11,None,3222,thing,caught fish,em-1292,08ebdc5f0ec8588af38ab1684318d99c,h-1320
"It has just been announced that Gerald Ford, 38th President of the United States has died.He is unique in that he wasn't elected to office.His reputation in the UK was high, and he was seen as a nice man who could still take hard decisions.I remember being surprised when visiting American politicians tried to pour scorn on him after pardoning President Nixon.I think he made the right decision by so doing.God Bless, Mr. President.The world lost a good man and the U.S. lost a good president.",specific,PER,ent-18,0,m-198,3,PRO,388,adjudicator,him,em-977,09098ae4e956a51b038876197814735e,h-950
"It has just been announced that Gerald Ford, 38th President of the United States has died.He is unique in that he wasn't elected to office.His reputation in the UK was high, and he was seen as a nice man who could still take hard decisions.I remember being surprised when visiting American politicians tried to pour scorn on him after pardoning President Nixon.I think he made the right decision by so doing.God Bless, Mr. President.The world lost a good man and the U.S. lost a good president.",specific,PER,ent-24,0,m-432,5,NAM,418,defendant,Nixon,em-977,09098ae4e956a51b038876197814735e,h-950
"Hi All,I love my parents to pieces.To cut a long story short, my dad had cancer - given 6 weeks to live.My mum gave up work to look after him.15 years later, my dad is in remission (thank goodness) back at work and my mum is now staying at home and being looked after.Ever since I started working I have helped out.As I feel a child should when they become an adult and start working.But recently it seems to have got out of control and I almost feel like I am now the parent.",specific,PER,ent-24,0,m-732,6,NOM,224,person,my dad,em-1273,0a421343005f3241376fa01e1cb3c6fb,h-1146
"A part of me feels as though I have to make it up to my parents.The life they could have had if my dad never became ill.He could not work for 10 years due to how bad his body suffered.He was alos diagnosed with a brain tumour throughout that time and survived and I am so prud of him for going back to work and for being so inspirational, and the same goes for my mum.Anyway, I earn more then my dad by about £600 a month.My mum gets working tax credits, about £35 a week.My boyfriend who is studying at uni also lives with us.",specific,PER,ent-24,0,m-762,3,PRO,831,person,him,em-1294,0a421343005f3241376fa01e1cb3c6fb,h-1146
"It was on the agreement that my mum would give me £85 a month which was half of what she was paying the creditors.It also stopped teh calls, letters and my mum is much more relaxed now.But she seems to have forgotten HOW much I paid off as she keeps hinting that she will stop giving me the money in December.That means she has only paid me about 9 times!She is adament it wasnt that much and I am going to try and ask my bank for a backdated statement so I can see exactly what I have paid out.Also, she is getting quite demanding.I already pay the council tax, internet (which she is on 80% of the day), phone line, phone calls, sky tv and tv license.",specific,PER,ent-27,0,m-864,3,PRO,2369,giver,she,em-1357,0a421343005f3241376fa01e1cb3c6fb,h-1152
"It was on the agreement that my mum would give me £85 a month which was half of what she was paying the creditors.It also stopped teh calls, letters and my mum is much more relaxed now.But she seems to have forgotten HOW much I paid off as she keeps hinting that she will stop giving me the money in December.That means she has only paid me about 9 times!She is adament it wasnt that much and I am going to try and ask my bank for a backdated statement so I can see exactly what I have paid out.Also, she is getting quite demanding.I already pay the council tax, internet (which she is on 80% of the day), phone line, phone calls, sky tv and tv license.",specific,PER,ent-8,0,m-354,2,PRO,2387,recipient,me,em-1357,0a421343005f3241376fa01e1cb3c6fb,h-1152
"She is adament it wasnt that much and I am going to try and ask my bank for a backdated statement so I can see exactly what I have paid out.Also, she is getting quite demanding.I already pay the council tax, internet (which she is on 80% of the day), phone line, phone calls, sky tv and tv license.I also pay for teh gas and electric and buy the main food shop per month.(£200 in total roughly).I also try and do things like by mu mum and dad shoes etc, it sounds silly but they dont do it and my mum literally ends up with holes in her leggings.She would rather by food and I understand this as she has been brought up that spoiling yourself is done via food.",specific,PER,ent-8,0,m-390,1,PRO,2707,giver,I,em-1378,0a421343005f3241376fa01e1cb3c6fb,h-1154
"STOP BUYING THINGS FOR THEIR HOME!You can't afford it, not with £24k of debt round your neck!""council tax, internet, phone line, phone calls, sky tv and tv license.I also pay for the gas and electric and buy the main food shop per month.(£200 in total roughly)"" How much does this come to a month?If you're paying nearly all of the running-costs of your parents' home and they're paying the rent/mortgage where is all the rest of their money going?Mum's racked up even more debts, I suspect.",specific,PER,ent-8,0,m-606,1,PRO,4436,giver,I,em-1399,0a421343005f3241376fa01e1cb3c6fb,h-1154
"That means she has only paid me about 9 times!She is adament it wasnt that much and I am going to try and ask my bank for a backdated statement so I can see exactly what I have paid out.Also, she is getting quite demanding.I already pay the council tax, internet (which she is on 80% of the day), phone line, phone calls, sky tv and tv license.I also pay for teh gas and electric and buy the main food shop per month.(£200 in total roughly).I also try and do things like by mu mum and dad shoes etc, it sounds silly but they dont do it and my mum literally ends up with holes in her leggings.",specific,PER,ent-8,0,m-384,1,PRO,2585,giver,I,em-1420,0a421343005f3241376fa01e1cb3c6fb,h-1156
"She is adament it wasnt that much and I am going to try and ask my bank for a backdated statement so I can see exactly what I have paid out.Also, she is getting quite demanding.I already pay the council tax, internet (which she is on 80% of the day), phone line, phone calls, sky tv and tv license.I also pay for teh gas and electric and buy the main food shop per month.(£200 in total roughly).I also try and do things like by mu mum and dad shoes etc, it sounds silly but they dont do it and my mum literally ends up with holes in her leggings.She would rather by food and I understand this as she has been brought up that spoiling yourself is done via food.",specific,PER,ent-8,0,m-390,1,PRO,2707,recipient,I,em-1441,0a421343005f3241376fa01e1cb3c6fb,h-1158
"STOP BUYING THINGS FOR THEIR HOME!You can't afford it, not with £24k of debt round your neck!""council tax, internet, phone line, phone calls, sky tv and tv license.I also pay for the gas and electric and buy the main food shop per month.(£200 in total roughly)"" How much does this come to a month?If you're paying nearly all of the running-costs of your parents' home and they're paying the rent/mortgage where is all the rest of their money going?Mum's racked up even more debts, I suspect.",specific,PER,ent-8,0,m-606,1,PRO,4436,giver,I,em-1948,0a421343005f3241376fa01e1cb3c6fb,h-1158
"(£200 in total roughly).I also try and do things like by mu mum and dad shoes etc, it sounds silly but they dont do it and my mum literally ends up with holes in her leggings.She would rather by food and I understand this as she has been brought up that spoiling yourself is done via food.I also had to use my savings to buy a wshing machine when it broke down.I also had to buy a new tv for the house as our old one we had for 17 years and broke.I had to pay for curtains because our flat is old, on a corner and freezing.I had to buy carpets because we had bare concrete floors.",specific,PER,ent-8,0,m-420,1,PRO,3074,recipient,I,em-1462,0a421343005f3241376fa01e1cb3c6fb,h-1160
"(£200 in total roughly).I also try and do things like by mu mum and dad shoes etc, it sounds silly but they dont do it and my mum literally ends up with holes in her leggings.She would rather by food and I understand this as she has been brought up that spoiling yourself is done via food.I also had to use my savings to buy a wshing machine when it broke down.I also had to buy a new tv for the house as our old one we had for 17 years and broke.I had to pay for curtains because our flat is old, on a corner and freezing.I had to buy carpets because we had bare concrete floors.",None ,commodity,f-1836,1,None,16,None,3110,thing,a wshing machine,em-1462,0a421343005f3241376fa01e1cb3c6fb,h-1160
"I also try and do things like by mu mum and dad shoes etc, it sounds silly but they dont do it and my mum literally ends up with holes in her leggings.She would rather by food and I understand this as she has been brought up that spoiling yourself is done via food.I also had to use my savings to buy a wshing machine when it broke down.I also had to buy a new tv for the house as our old one we had for 17 years and broke.I had to pay for curtains because our flat is old, on a corner and freezing.I had to buy carpets because we had bare concrete floors.I dont understand where my parents money goes!",specific,PER,ent-8,0,m-432,1,PRO,3147,recipient,I,em-1483,0a421343005f3241376fa01e1cb3c6fb,h-1162
"I also try and do things like by mu mum and dad shoes etc, it sounds silly but they dont do it and my mum literally ends up with holes in her leggings.She would rather by food and I understand this as she has been brought up that spoiling yourself is done via food.I also had to use my savings to buy a wshing machine when it broke down.I also had to buy a new tv for the house as our old one we had for 17 years and broke.I had to pay for curtains because our flat is old, on a corner and freezing.I had to buy carpets because we had bare concrete floors.I dont understand where my parents money goes!",None ,commodity,f-1843,1,None,8,None,3165,thing,a new tv,em-1483,0a421343005f3241376fa01e1cb3c6fb,h-1162
"She would rather by food and I understand this as she has been brought up that spoiling yourself is done via food.I also had to use my savings to buy a wshing machine when it broke down.I also had to buy a new tv for the house as our old one we had for 17 years and broke.I had to pay for curtains because our flat is old, on a corner and freezing.I had to buy carpets because we had bare concrete floors.I dont understand where my parents money goes!I know they are not saving and I just cant understand!",specific,PER,ent-8,0,m-438,1,PRO,3234,recipient,I,em-1504,0a421343005f3241376fa01e1cb3c6fb,h-1164
"She would rather by food and I understand this as she has been brought up that spoiling yourself is done via food.I also had to use my savings to buy a wshing machine when it broke down.I also had to buy a new tv for the house as our old one we had for 17 years and broke.I had to pay for curtains because our flat is old, on a corner and freezing.I had to buy carpets because we had bare concrete floors.I dont understand where my parents money goes!I know they are not saving and I just cant understand!",None ,commodity,f-1850,1,None,8,None,3251,thing,curtains,em-1504,0a421343005f3241376fa01e1cb3c6fb,h-1164
"I also had to use my savings to buy a wshing machine when it broke down.I also had to buy a new tv for the house as our old one we had for 17 years and broke.I had to pay for curtains because our flat is old, on a corner and freezing.I had to buy carpets because we had bare concrete floors.I dont understand where my parents money goes!I know they are not saving and I just cant understand!Now my mum is almost taking advantage, she keep going on about our cooker which is almost on its way out and I had to keep saying I can not afford it, because I really can not right now.",specific,PER,ent-8,0,m-444,1,PRO,3311,recipient,I,em-1525,0a421343005f3241376fa01e1cb3c6fb,h-1166
"I also had to use my savings to buy a wshing machine when it broke down.I also had to buy a new tv for the house as our old one we had for 17 years and broke.I had to pay for curtains because our flat is old, on a corner and freezing.I had to buy carpets because we had bare concrete floors.I dont understand where my parents money goes!I know they are not saving and I just cant understand!Now my mum is almost taking advantage, she keep going on about our cooker which is almost on its way out and I had to keep saying I can not afford it, because I really can not right now.",None ,commodity,f-1857,1,None,7,None,3324,thing,carpets,em-1525,0a421343005f3241376fa01e1cb3c6fb,h-1166
"She has credit cards which my dad didnt know about and it would have caused worldwar 3.So I paid them off for her.Silly me I didnt total how much but it was about 4 debts in total and I am sure it must have been about 5k in total.It was on the agreement that my mum would give me £85 a month which was half of what she was paying the creditors.It also stopped teh calls, letters and my mum is much more relaxed now.But she seems to have forgotten HOW much I paid off as she keeps hinting that she will stop giving me the money in December.That means she has only paid me about 9 times!",specific,PER,ent-27,0,m-828,6,NOM,2074,giver,my mum,em-1686,0a421343005f3241376fa01e1cb3c6fb,h-1742
"She has credit cards which my dad didnt know about and it would have caused worldwar 3.So I paid them off for her.Silly me I didnt total how much but it was about 4 debts in total and I am sure it must have been about 5k in total.It was on the agreement that my mum would give me £85 a month which was half of what she was paying the creditors.It also stopped teh calls, letters and my mum is much more relaxed now.But she seems to have forgotten HOW much I paid off as she keeps hinting that she will stop giving me the money in December.That means she has only paid me about 9 times!",specific,PER,ent-8,0,m-330,2,PRO,2092,recipient,me,em-1686,0a421343005f3241376fa01e1cb3c6fb,h-1742
"Silly me I didnt total how much but it was about 4 debts in total and I am sure it must have been about 5k in total.It was on the agreement that my mum would give me £85 a month which was half of what she was paying the creditors.It also stopped teh calls, letters and my mum is much more relaxed now.But she seems to have forgotten HOW much I paid off as she keeps hinting that she will stop giving me the money in December.That means she has only paid me about 9 times!She is adament it wasnt that much and I am going to try and ask my bank for a backdated statement so I can see exactly what I have paid out.Also, she is getting quite demanding.",specific,PER,ent-27,0,m-858,3,PRO,2311,giver,she,em-1721,0a421343005f3241376fa01e1cb3c6fb,h-1742
"Silly me I didnt total how much but it was about 4 debts in total and I am sure it must have been about 5k in total.It was on the agreement that my mum would give me £85 a month which was half of what she was paying the creditors.It also stopped teh calls, letters and my mum is much more relaxed now.But she seems to have forgotten HOW much I paid off as she keeps hinting that she will stop giving me the money in December.That means she has only paid me about 9 times!She is adament it wasnt that much and I am going to try and ask my bank for a backdated statement so I can see exactly what I have paid out.Also, she is getting quite demanding.",specific,PER,ent-8,0,m-348,2,PRO,2332,recipient,me,em-1721,0a421343005f3241376fa01e1cb3c6fb,h-1742
"I already pay the council tax, internet (which she is on 80% of the day), phone line, phone calls, sky tv and tv license.I also pay for teh gas and electric and buy the main food shop per month.(£200 in total roughly).I also try and do things like by mu mum and dad shoes etc, it sounds silly but they dont do it and my mum literally ends up with holes in her leggings.She would rather by food and I understand this as she has been brought up that spoiling yourself is done via food.I also had to use my savings to buy a wshing machine when it broke down.I also had to buy a new tv for the house as our old one we had for 17 years and broke.",specific,PER,ent-8,0,m-396,1,PRO,2806,giver,I,em-1779,0a421343005f3241376fa01e1cb3c6fb,h-1802
"I already pay the council tax, internet (which she is on 80% of the day), phone line, phone calls, sky tv and tv license.I also pay for teh gas and electric and buy the main food shop per month.(£200 in total roughly).I also try and do things like by mu mum and dad shoes etc, it sounds silly but they dont do it and my mum literally ends up with holes in her leggings.She would rather by food and I understand this as she has been brought up that spoiling yourself is done via food.I also had to use my savings to buy a wshing machine when it broke down.I also had to buy a new tv for the house as our old one we had for 17 years and broke.",specific,PER,ent-27,0,m-888,14,NOM,2839,recipient,mu mum and dad,em-1779,0a421343005f3241376fa01e1cb3c6fb,h-1802
"I already pay the council tax, internet (which she is on 80% of the day), phone line, phone calls, sky tv and tv license.I also pay for teh gas and electric and buy the main food shop per month.(£200 in total roughly).I also try and do things like by mu mum and dad shoes etc, it sounds silly but they dont do it and my mum literally ends up with holes in her leggings.She would rather by food and I understand this as she has been brought up that spoiling yourself is done via food.I also had to use my savings to buy a wshing machine when it broke down.I also had to buy a new tv for the house as our old one we had for 17 years and broke.",specific,PER,ent-24,0,m-780,14,NOM,2839,recipient,mu mum and dad,em-1779,0a421343005f3241376fa01e1cb3c6fb,h-1802
"I already pay the council tax, internet (which she is on 80% of the day), phone line, phone calls, sky tv and tv license.I also pay for teh gas and electric and buy the main food shop per month.(£200 in total roughly).I also try and do things like by mu mum and dad shoes etc, it sounds silly but they dont do it and my mum literally ends up with holes in her leggings.She would rather by food and I understand this as she has been brought up that spoiling yourself is done via food.I also had to use my savings to buy a wshing machine when it broke down.I also had to buy a new tv for the house as our old one we had for 17 years and broke.",None ,commodity,f-1829,1,None,5,None,2854,thing,shoes,em-1779,0a421343005f3241376fa01e1cb3c6fb,h-1802
"I also pay for teh gas and electric and buy the main food shop per month.(£200 in total roughly).I also try and do things like by mu mum and dad shoes etc, it sounds silly but they dont do it and my mum literally ends up with holes in her leggings.She would rather by food and I understand this as she has been brought up that spoiling yourself is done via food.I also had to use my savings to buy a wshing machine when it broke down.I also had to buy a new tv for the house as our old one we had for 17 years and broke.I had to pay for curtains because our flat is old, on a corner and freezing.",specific,PER,ent-27,0,m-906,3,PRO,2958,recipient,She,em-1881,0a421343005f3241376fa01e1cb3c6fb,h-1930
"I also pay for teh gas and electric and buy the main food shop per month.(£200 in total roughly).I also try and do things like by mu mum and dad shoes etc, it sounds silly but they dont do it and my mum literally ends up with holes in her leggings.She would rather by food and I understand this as she has been brought up that spoiling yourself is done via food.I also had to use my savings to buy a wshing machine when it broke down.I also had to buy a new tv for the house as our old one we had for 17 years and broke.I had to pay for curtains because our flat is old, on a corner and freezing.",None ,commodity,f-1906,1,None,4,None,2978,thing,food,em-1881,0a421343005f3241376fa01e1cb3c6fb,h-1930
"I am sorry guys..... this is just a rant really!I just feel like I am already tied down with kids!STOP BUYING THINGS FOR THEIR HOME!You can't afford it, not with £24k of debt round your neck!""council tax, internet, phone line, phone calls, sky tv and tv license.I also pay for the gas and electric and buy the main food shop per month.(£200 in total roughly)"" How much does this come to a month?",specific,PER,ent-8,0,m-588,3,PRO,4303,giver,You,em-1909,0a421343005f3241376fa01e1cb3c6fb,h-1946
"She is so sensitive that even if I don;t eat dinner she gets in a mood and takes it personally!I am sorry guys..... this is just a rant really!I just feel like I am already tied down with kids!STOP BUYING THINGS FOR THEIR HOME!You can't afford it, not with £24k of debt round your neck!""council tax, internet, phone line, phone calls, sky tv and tv license.I also pay for the gas and electric and buy the main food shop per month.",None ,commodity,f-1936,1,None,6,None,4280,thing,THINGS,em-1909,0a421343005f3241376fa01e1cb3c6fb,h-1946
"She is so sensitive that even if I don;t eat dinner she gets in a mood and takes it personally!I am sorry guys..... this is just a rant really!I just feel like I am already tied down with kids!STOP BUYING THINGS FOR THEIR HOME!You can't afford it, not with £24k of debt round your neck!""council tax, internet, phone line, phone calls, sky tv and tv license.I also pay for the gas and electric and buy the main food shop per month.",specific,PER,ent-18,0,m-684,5,PRO,4291,beneficiary,THEIR,em-1909,0a421343005f3241376fa01e1cb3c6fb,h-1946
"""council tax, internet, phone line, phone calls, sky tv and tv license.I also pay for the gas and electric and buy the main food shop per month.(£200 in total roughly)"" How much does this come to a month?If you're paying nearly all of the running-costs of your parents' home and they're paying the rent/mortgage where is all the rest of their money going?Mum's racked up even more debts, I suspect.",specific,PER,ent-8,0,m-600,3,PRO,4575,giver,you,em-1969,0a421343005f3241376fa01e1cb3c6fb,h-1990
"Anyway, I earn more then my dad by about £600 a month.My mum gets working tax credits, about £35 a week.My boyfriend who is studying at uni also lives with us.The problem I have is that I feel as though I am paying for everything now, I always felt like I had to spoil my parents, feeling so lucky to still have them and I would do anything for them but now I am financially struggling and I think they believe my money is endless.I was in sever debt which through hard work I am getting out of.I am still in debt by about £24k.One is a loan, the other is an overdraft and one is a credit card.",specific,PER,ent-8,0,m-192,1,PRO,1129,giver,I,em-1992,0a421343005f3241376fa01e1cb3c6fb,h-1990
"""council tax, internet, phone line, phone calls, sky tv and tv license.I also pay for the gas and electric and buy the main food shop per month.(£200 in total roughly)"" How much does this come to a month?If you're paying nearly all of the running-costs of your parents' home and they're paying the rent/mortgage where is all the rest of their money going?Mum's racked up even more debts, I suspect.",specific,PER,ent-18,0,m-696,4,PRO,4647,giver,they,em-2034,0a421343005f3241376fa01e1cb3c6fb,h-2055
"I wonder if Jeb would bow before the the Saudi Monarch, hold his hand, and walk on grass so that the filthy muslim dictator could use the concrete sidewalk like your tyrannical hero George the II did?Of course he would.The Bushes have been in bed with the Saudis for decades.Why do you think Bush let all the Saudis get out of the country on chartered jets so fast after 9/11?He's as good as.Maybe even better because he knows how to run a big state.Florida did well while he was Gov.",specific,PER,ent-51,0,m-540,14,NOM,420,person,all the Saudis,em-728,0ba982819aaf9f5b94a7cebd48ac6018,h-16
"I wonder if Jeb would bow before the the Saudi Monarch, hold his hand, and walk on grass so that the filthy muslim dictator could use the concrete sidewalk like your tyrannical hero George the II did?Of course he would.The Bushes have been in bed with the Saudis for decades.Why do you think Bush let all the Saudis get out of the country on chartered jets so fast after 9/11?He's as good as.Maybe even better because he knows how to run a big state.Florida did well while he was Gov.",specific,GPE,ent-60,0,m-564,11,NOM,446,origin,the country,em-728,0ba982819aaf9f5b94a7cebd48ac6018,h-16
"I wonder if Jeb would bow before the the Saudi Monarch, hold his hand, and walk on grass so that the filthy muslim dictator could use the concrete sidewalk like your tyrannical hero George the II did?Of course he would.The Bushes have been in bed with the Saudis for decades.Why do you think Bush let all the Saudis get out of the country on chartered jets so fast after 9/11?He's as good as.Maybe even better because he knows how to run a big state.Florida did well while he was Gov.",None ,time,f-823,1,None,10,None,484,time,after 9/11,em-728,0ba982819aaf9f5b94a7cebd48ac6018,h-16
"I wonder if Jeb would bow before the the Saudi Monarch, hold his hand, and walk on grass so that the filthy muslim dictator could use the concrete sidewalk like your tyrannical hero George the II did?Of course he would.The Bushes have been in bed with the Saudis for decades.Why do you think Bush let all the Saudis get out of the country on chartered jets so fast after 9/11?He's as good as.Maybe even better because he knows how to run a big state.Florida did well while he was Gov.",None ,vehicle,f-891,1,None,14,None,461,instrument,chartered jets,em-728,0ba982819aaf9f5b94a7cebd48ac6018,h-16
"Florida did well while he was Gov.And Jeb's executive experience would come in handy as a Senator... how?Ya got it scrambled:His senate experience will compliment his executive experience for the next rung on the ladder.Hell, America just elected a junior Senator with zero executive experince.Just think how better qualified Jeb would be!!America won't vote for another Bush for president.",specific,GPE,ent-60,0,m-570,7,NAM,1066,agent,America,em-749,0ba982819aaf9f5b94a7cebd48ac6018,h-726
"Florida did well while he was Gov.And Jeb's executive experience would come in handy as a Senator... how?Ya got it scrambled:His senate experience will compliment his executive experience for the next rung on the ladder.Hell, America just elected a junior Senator with zero executive experince.Just think how better qualified Jeb would be!!America won't vote for another Bush for president.",specific,PER,ent-48,0,m-516,16,NOM,1087,person,a junior Senator,em-749,0ba982819aaf9f5b94a7cebd48ac6018,h-726
